,unique.cellid,cellosaurus.name,Cellosaurus.Accession.id,PharmacoDB.id,cello_NCItd_1,cello_diseaseType,cello_NCItd_2,cello_diseaseType_2,cello_NCItd_3,cello_diseaseType_3,onco_name,onco_mainType,onco_tissue
393,GA-10 clone 20,GA-10 clone 20,NA,NA,C2912,Burkitt lymphoma,NA,NA,NA,NA,Burkitt Lymphoma,Mature B-Cell Neoplasms,Lymphoid
394,GA-10 clone 4,GA-10 clone 4,CVCL_1224,GA10Clone4_396_2019,C2912,Burkitt lymphoma,NA,NA,NA,NA,Burkitt Lymphoma,Mature B-Cell Neoplasms,Lymphoid
395,GAK,GAK,CVCL_1225,GAK_397_2019,C40329,Vulvar melanoma,NA,NA,NA,NA,Mucosal Melanoma of the Vulva/Vagina (VMM),Vaginal Cancer,Vulva/Vagina
396,GaMG,GaMG,CVCL_1226,GAMG_398_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
397,GB-1,GB-1,CVCL_1227,GB1_399_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
398,GCIY,GCIY,CVCL_1228,GCIY_400_2019,C4004,Gastric adenocarcinoma,NA,NA,NA,NA,Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
399,GCT,GCT,CVCL_1229,GCT_401_2019,C4247,Undifferentiated pleomorphic sarcoma,NA,NA,NA,NA,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Soft Tissue Sarcoma,Soft Tissue
400,GDM-1,GDM-1,CVCL_1230,GDM1_402_2019,C9154,Adult acute myeloid leukemia,NA,NA,NA,NA,Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia,Myeloid
401,GEO,GEO,CVCL_0271,Geo_403_2019,C4910,Colon carcinoma,NA,NA,NA,NA,Bowel,"Bowel Cancer, NOS",Bowel
402,GI-1,GI-1,CVCL_1231,GI1_404_2019,C3796,Gliosarcoma,NA,NA,NA,NA,Gliosarcoma,Glioma,CNS/Brain
403,GI-ME-N,GI-ME-N,CVCL_1232,GIMEN_405_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
404,GLC-82,GLC-82,CVCL_3371,GLC82_406_2019,C27677,Human papillomavirus-related endocervical adenocarcinoma,NA,NA,NA,NA,Endocervical Adenocarcinoma (ECAD),Cervical Cancer,Cervix
405,GMS-10,GMS-10,CVCL_1233,GMS10_407_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
406,GOS-3,GOS-3,CVCL_2050,GOS3_408_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
407,GOTO,GOTO,CVCL_1234,GOTO_409_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
408,GOTO.P3,GOTO.P3,NA,NA,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
409,GP2d,GP2d,CVCL_2450,Gp2D_410_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
410,GP5d,GP5d,CVCL_1235,GP5d_411_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
411,GR-M,GR-M,CVCL_2451,GRM_412_2019,C8294,Pancreatic adenocarcinoma,NA,NA,NA,NA,Pancreatic Adenocarcinoma,Pancreatic Cancer,Pancreas
412,GR-ST,GR-ST,CVCL_1236,GRST_413_2019,C9140,Childhood B acute lymphoblastic leukemia,NA,NA,NA,NA,B-Lymphoblastic Leukemia/Lymphoma (BLL),B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
413,Granta-519,Granta-519,CVCL_1818,GRANTA519_414_2019,C4337,Mantle cell lymphoma,NA,NA,NA,NA,Mantle Cell Lymphoma,Mature B-Cell Neoplasms,Lymphoid
414,GSS,GSS,CVCL_8876,GSS_415_2019,C4911,Gastric carcinoma,NA,NA,NA,NA,Esophagus/Stomach,"Esophageal/Stomach Cancer, NOS",Esophagus/Stomach
415,GSU,GSU,CVCL_8877,GSU_416_2019,C4911,Gastric carcinoma,NA,NA,NA,NA,Esophagus/Stomach,"Esophageal/Stomach Cancer, NOS",Esophagus/Stomach
416,GT3TKB,GT3TKB,CVCL_1237,GT3TKB_417_2019,C3493,Squamous cell lung carcinoma,NA,NA,NA,NA,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung
417,GTL-16,GTL-16,CVCL_7668,GTL16_418_2019,C4004,Gastric adenocarcinoma,NA,NA,NA,NA,Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
418,H-EMC-SS,H-EMC-SS,CVCL_1238,HEMCSS_419_2019,C2946,Chondrosarcoma,NA,NA,NA,NA,Chondrosarcoma,Bone Cancer,Bone
419,H-STS,H-STS,CVCL_L296,HSTS_623_2019,C6422,Midgut carcinoid tumor,NA,NA,NA,NA,Small Intestinal Carcinoma (SIC),Small Bowel Cancer,Bowel
420,H4,H4,CVCL_1239,H4_437_2019,C60781,Astrocytoma,NA,NA,NA,NA,Astrocytoma,Glioma,CNS/Brain
421,H9,H9,CVCL_1240,H9_439_2019,C9265,Mycosis fungoides and Sezary syndrome,NA,NA,NA,NA,Mycosis Fungoides (MYCF),Mature T and NK Neoplasms,Lymphoid
422,HA7-RCC,HA7-RCC,CVCL_1241,HA7RCC_440_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
423,HAL-01,HAL-01,CVCL_1242,HAL01_441_2019,C8644,B acute lymphoblastic leukemia,NA,NA,NA,NA,"B-Lymphoblastic Leukemia/Lymphoma, NOS (BLLNOS)",B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
424,HARA [Human squamous cell lung carcinoma],HARA [Human squamous cell lung carcinoma],CVCL_2914,HARA_442_2019,C3493,Squamous cell lung carcinoma,NA,NA,NA,NA,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung
425,HBL-100,NA,CVCL_4362,HBL100_443_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,HC-1,HC-1,CVCL_1243,HC1_444_2019,C7402,Hairy cell leukemia,NA,NA,NA,NA,Hairy Cell Leukemia,Mature B-Cell Neoplasms,Lymphoid
427,HCA7,HCA7,CVCL_0289,HCA7_445_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
428,HCC-56,HCC-56,CVCL_2917,HCC56_460_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
429,HCC1007,HCC1007,NA,NA,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
430,HCC1008,HCC1008,CVCL_1244,HCC1008_464_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
431,HCC1011,HCC1011,CVCL_V675,HCC1011_465_2019,C4524,Multilocular cystic renal cell carcinoma,NA,NA,NA,NA,Renal Clear Cell Carcinoma (CCRCC),Renal Cell Carcinoma,Kidney
432,HCC1143,HCC1143,CVCL_1245,HCC1143_466_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
433,HCC1143 BL,NA,CVCL_1246,HCC1143BL_467_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,HCC1162,HCC1162,CVCL_V651,HCC1162_468_2019,C7359,Endometrial adenocarcinoma,NA,NA,NA,NA,Endometrial Carcinoma (UCEC),Endometrial Cancer,Uterus
435,HCC1171,HCC1171,CVCL_5126,HCC1171_446_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
436,HCC1187,HCC1187,CVCL_1247,HCC1187_469_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
437,HCC1195,HCC1195,CVCL_5127,HCC1195_447_2019,C9133,Adenosquamous lung carcinoma,NA,NA,NA,NA,Lung Adenosquamous Carcinoma,Non-Small Cell Lung Cancer,Lung
438,HCC12,HCC12,CVCL_V719,HCC12_470_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
439,HCC1263,HCC1263,CVCL_V686,HCC1263_471_2019,C5105,Colorectal adenocarcinoma,NA,NA,NA,NA,Colorectal Adenocarcinoma,Colorectal Cancer,Bowel
440,HCC1319,HCC1319,CVCL_V671,HCC1319_472_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
441,HCC1359,HCC1359,CVCL_5128,HCC1359_448_2019,C4452,Lung giant cell carcinoma,NA,NA,NA,NA,Giant Cell Carcinoma of the Lung,Non-Small Cell Lung Cancer,Lung
442,HCC1395,HCC1395,CVCL_1249,HCC1395_473_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
443,HCC1419,HCC1419,CVCL_1251,HCC1419_474_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
444,HCC1428,HCC1428,CVCL_1252,HCC1428_475_2019,C5214,Breast adenocarcinoma,NA,NA,NA,NA,Invasive Breast Carcinoma (BRCA),Breast Cancer,Breast
445,HCC1438,HCC1438,CVCL_L088,HCC1438_449_2019,C4450,Large cell lung carcinoma,NA,NA,NA,NA,Large Cell Lung Carcinoma,Non-Small Cell Lung Cancer,Lung
446,HCC1482,HCC1482,CVCL_V591,HCC1482_476_2019,C4029,Cervical adenocarcinoma,NA,NA,NA,NA,Cervical Adenocarcinoma,Cervical Cancer,Cervix
447,HCC1493,HCC1493,CVCL_V592,HCC1493_477_2019,C5214,Breast adenocarcinoma,NA,NA,NA,NA,Invasive Breast Carcinoma (BRCA),Breast Cancer,Breast
448,HCC15,HCC15,CVCL_2057,HCC15_450_2019,C3493,Squamous cell lung carcinoma,NA,NA,NA,NA,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung
449,HCC1500,HCC1500,CVCL_1254,HCC1500_478_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
450,HCC1534,HCC1534,CVCL_V595,HCC1534_479_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
451,HCC1569,HCC1569,CVCL_1255,HCC1569_480_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
452,HCC1576,HCC1576,CVCL_V597,HCC1576_481_2019,C9325,Adrenal cortex carcinoma,NA,NA,NA,NA,Adrenocortical Carcinoma,Adrenocortical Carcinoma,Adrenal Gland
453,HCC1588,HCC1588,CVCL_A351,HCC1588_451_2019,C3493,Squamous cell lung carcinoma,NA,NA,NA,NA,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung
454,HCC1599,HCC1599,CVCL_1256,HCC1599_482_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
455,HCC1806,HCC1806,CVCL_1258,HCC1806_483_2019,C40359,"Squamous cell breast carcinoma, acantholytic variant",NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
456,HCC1833,HCC1833,CVCL_5129,HCC1833_452_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
457,HCC1897,HCC1897,CVCL_V578,HCC1897_453_2019,C3493,Squamous cell lung carcinoma,NA,NA,NA,NA,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung
458,HCC193,HCC193,CVCL_5130,HCC193_484_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
459,HCC1937,HCC1937,CVCL_0290,HCC1937_485_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
460,HCC1954,HCC1954,CVCL_1259,HCC1954_486_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
461,HCC202,HCC202,CVCL_2062,HCC202_487_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
462,HCC2108,HCC2108,CVCL_A352,HCC2108_454_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
463,HCC2157,HCC2157,CVCL_1261,HCC2157_488_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
464,HCC2185,HCC2185,CVCL_3375,HCC2185_489_2019,C76328,Metastatic lobular breast carcinoma,NA,NA,NA,NA,Breast Invasive Lobular Carcinoma (ILC),Breast Cancer,Breast
465,HCC2218,HCC2218,CVCL_1263,HCC2218_490_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
466,HCC2270,HCC2270,CVCL_V635,HCC2270_491_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
467,HCC2279,HCC2279,CVCL_5131,HCC2279_455_2019,C9133,Adenosquamous lung carcinoma,NA,NA,NA,NA,Lung Adenosquamous Carcinoma,Non-Small Cell Lung Cancer,Lung
468,HCC2302,HCC2302,CVCL_V636,HCC2302_492_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
469,HCC2688,HCC2688,CVCL_3376,HCC2688_493_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
470,HCC2814,HCC2814,CVCL_V586,HCC2814_456_2019,C3493,Squamous cell lung carcinoma,NA,NA,NA,NA,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung
471,HCC2885,HCC2885,CVCL_V588,HCC2885_494_2019,C2926,Non-small cell lung carcinoma,NA,NA,NA,NA,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung
472,HCC2911,HCC2911,CVCL_0V16,HCC2911_495_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
473,HCC2935,HCC2935,CVCL_1265,HCC2935_496_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
474,HCC2998,HCC2998,CVCL_1266,HCC2998_497_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
475,HCC3153,HCC3153,CVCL_3377,HCC3153_498_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
476,HCC33,HCC33,CVCL_2058,HCC33_457_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
477,HCC364,HCC364,CVCL_5134,HCC364_499_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
478,HCC366,HCC366,CVCL_2059,HCC366_458_2019,C9133,Adenosquamous lung carcinoma,NA,NA,NA,NA,Lung Adenosquamous Carcinoma,Non-Small Cell Lung Cancer,Lung
479,HCC38,HCC38,CVCL_1267,HCC38_500_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
480,HCC38 BL,NA,CVCL_1268,HCC38BL_501_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,HCC4006,HCC4006,CVCL_1269,HCC4006_502_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
482,HCC4011,HCC4011,CVCL_S700,HCC4011_503_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
483,HCC4017,HCC4017,CVCL_V579,HCC4017_504_2019,C4450,Large cell lung carcinoma,NA,NA,NA,NA,Large Cell Lung Carcinoma,Non-Small Cell Lung Cancer,Lung
484,HCC44,HCC44,CVCL_2060,HCC44_459_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
485,HCC461,HCC461,CVCL_5135,HCC461_505_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
486,HCC515,HCC515,CVCL_5136,HCC515_506_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
487,HCC60,HCC60,CVCL_G002,HCC60_507_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
488,HCC630,HCC630,CVCL_V729,HCC630_508_2019,C4908,Ovarian carcinoma,NA,NA,NA,NA,Ovary/Fallopian Tube,"Ovarian/Fallopian Tube Cancer, NOS",Ovary/Fallopian Tube
489,HCC70,HCC70,CVCL_1270,HCC70_509_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
490,HCC712,HCC712,CVCL_3378,HCC712_510_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
491,HCC78,HCC78,CVCL_2061,HCC78_461_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
492,HCC812,NA,NA,HCC812_511_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,HCC827,HCC827,CVCL_2063,HCC827_512_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
494,HCC827 GR5,HCC827 GR5,CVCL_V622,HCC827GR5_462_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
495,HCC89,HCC89,CVCL_V731,HCC89_513_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
496,HCC95,HCC95,CVCL_5137,HCC95_463_2019,C3493,Squamous cell lung carcinoma,NA,NA,NA,NA,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung
497,HCE-4,HCE-4,CVCL_1271,HCE4_514_2019,C4024,Esophageal squamous cell carcinoma,NA,NA,NA,NA,Esophageal Squamous Cell Carcinoma,Esophagogastric Cancer,Esophagus/Stomach
498,HCE-7,HCE-7,CVCL_5138,HCE7_515_2019,C4024,Esophageal squamous cell carcinoma,NA,NA,NA,NA,Esophageal Squamous Cell Carcinoma,Esophagogastric Cancer,Esophagus/Stomach
499,HCE-T,NA,CVCL_1272,HCET_516_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,HCT 116,HCT 116,CVCL_0291,HCT116_517_2019,C4910,Colon carcinoma,NA,NA,NA,NA,Bowel,"Bowel Cancer, NOS",Bowel
501,HCT 15,HCT 15,CVCL_0292,HCT15_518_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
502,HCT 8,HCT 8,CVCL_2478,HCT8_519_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
503,HD-MY-Z,HD-MY-Z,CVCL_1273,HDMYZ_520_2019,C9154,Adult acute myeloid leukemia,NA,NA,NA,NA,Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia,Myeloid
504,HDLM-2,HDLM-2,CVCL_0009,HDLM2_521_2019,C9357,Hodgkin lymphoma,NA,NA,NA,NA,Hodgkin Lymphoma,Hodgkin Lymphoma,Lymphoid
505,HDQ-P1,HDQ-P1,CVCL_2067,HDQP1_522_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
506,HEC-1,HEC-1,CVCL_1274,HEC1_523_2019,C7359,Endometrial adenocarcinoma,NA,NA,NA,NA,Endometrial Carcinoma (UCEC),Endometrial Cancer,Uterus
507,HEC-1-A,HEC-1-A,CVCL_0293,HEC1A_524_2019,C7359,Endometrial adenocarcinoma,NA,NA,NA,NA,Endometrial Carcinoma (UCEC),Endometrial Cancer,Uterus
508,HEC-1-B,HEC-1-B,CVCL_0294,HEC1B_532_2019,C7359,Endometrial adenocarcinoma,NA,NA,NA,NA,Endometrial Carcinoma (UCEC),Endometrial Cancer,Uterus
509,HEC-108,HEC-108,CVCL_2923,HEC108_525_2019,C7359,Endometrial adenocarcinoma,NA,NA,NA,NA,Endometrial Carcinoma (UCEC),Endometrial Cancer,Uterus
510,HEC-151,HEC-151,CVCL_2925,HEC151_526_2019,C7359,Endometrial adenocarcinoma,NA,NA,NA,NA,Endometrial Carcinoma (UCEC),Endometrial Cancer,Uterus
511,HEC-251,HEC-251,CVCL_2927,HEC251_527_2019,C7558,Endometrial carcinoma,NA,NA,NA,NA,Endometrial Carcinoma,Endometrial Cancer,Uterus
512,HEC-265,HEC-265,CVCL_2928,HEC265_528_2019,C7359,Endometrial adenocarcinoma,NA,NA,NA,NA,Endometrial Carcinoma (UCEC),Endometrial Cancer,Uterus
513,HEC-50B,HEC-50B,CVCL_2929,HEC50B_529_2019,C7359,Endometrial adenocarcinoma,NA,NA,NA,NA,Endometrial Carcinoma (UCEC),Endometrial Cancer,Uterus
514,HEC-59,HEC-59,CVCL_2930,HEC59_530_2019,C7359,Endometrial adenocarcinoma,NA,NA,NA,NA,Endometrial Carcinoma (UCEC),Endometrial Cancer,Uterus
515,HEC-6,HEC-6,CVCL_2931,HEC6_531_2019,C6290,"Endometrial endometrioid adenocarcinoma, variant with squamous differentiation",NA,NA,NA,NA,Endometrial Carcinoma (UCEC),NA,Uterus
516,HEK TE,NA,CVCL_WS59,HEKTE_533_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
517,HEL,HEL,CVCL_0001,HEL_534_2019,C7152,Erythroleukemia,NA,NA,NA,NA,Acute Myeloid Leukemia (AML),Leukemia,Myeloid
518,HEL 92.1.7,HEL 92.1.7,CVCL_2481,HEL92.1.7_535_2019,C7152,Erythroleukemia,NA,NA,NA,NA,Acute Myeloid Leukemia (AML),Leukemia,Myeloid
519,HeLa,HeLa,CVCL_0030,HeLa_536_2019,C27677,Human papillomavirus-related endocervical adenocarcinoma,NA,NA,NA,NA,Endocervical Adenocarcinoma (ECAD),Cervical Cancer,Cervix
520,HeLaSF,HeLaSF,CVCL_1278,HeLaSF_537_2019,C27677,Human papillomavirus-related endocervical adenocarcinoma,NA,NA,NA,NA,Endocervical Adenocarcinoma (ECAD),Cervical Cancer,Cervix
521,Hep 3B2.1-7,Hep 3B2.1-7,CVCL_0326,Hep3B2.17_538_2019,C3099,Hepatocellular carcinoma,NA,NA,NA,NA,Hepatocellular Carcinoma,Hepatobiliary Cancer,Liver
522,HEp-2,HEp-2,CVCL_1906,HEp2_540_2019,C27677,Human papillomavirus-related endocervical adenocarcinoma,NA,NA,NA,NA,Endocervical Adenocarcinoma (ECAD),Cervical Cancer,Cervix
523,Hep-G2,Hep-G2,CVCL_0027,HepG2_539_2019,C3728,Hepatoblastoma,NA,NA,NA,NA,Hepatoblastoma,Hepatobiliary Cancer,Liver
524,Hep-G2/C3A,Hep-G2/C3A,CVCL_1098,C3A_156_2019,C3728,Hepatoblastoma,NA,NA,NA,NA,Hepatoblastoma,Hepatobiliary Cancer,Liver
525,HEY,HEY,CVCL_0297,HEY_541_2019,C105555,High grade ovarian serous adenocarcinoma,NA,NA,NA,NA,High-Grade Serous Ovarian Cancer,Ovarian Cancer,Ovary/Fallopian Tube
526,HEY A8,HEY A8,CVCL_8878,HeyA8_542_2019,C105555,High grade ovarian serous adenocarcinoma,NA,NA,NA,NA,High-Grade Serous Ovarian Cancer,Ovarian Cancer,Ovary/Fallopian Tube
527,HGC-27,HGC-27,CVCL_1279,HGC27_543_2019,C4911,Gastric carcinoma,NA,NA,NA,NA,Esophagus/Stomach,"Esophageal/Stomach Cancer, NOS",Esophagus/Stomach
528,HH [Human lymphoma],HH [Human lymphoma],CVCL_1280,HH_544_2019,C3467,Cutaneous T-cell non-Hodgkin lymphoma,NA,NA,NA,NA,Mature T and NK Neoplasms (MTNN),Mature T and NK Neoplasms,Lymphoid
529,HK-2 [Human kidney],NA,CVCL_0302,HK2_545_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
530,HL-60,HL-60,CVCL_0002,HL60_546_2019,C9154,Adult acute myeloid leukemia,NA,NA,NA,NA,Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia,Myeloid
531,HLC-1,HLC-1,CVCL_5529,HLC1_547_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
532,HLE,HLE,CVCL_1281,HLE_548_2019,C3099,Hepatocellular carcinoma,NA,NA,NA,NA,Hepatocellular Carcinoma,Hepatobiliary Cancer,Liver
533,HLF,HLF,CVCL_2947,HLF_549_2019,C3099,Hepatocellular carcinoma,NA,NA,NA,NA,Hepatocellular Carcinoma,Hepatobiliary Cancer,Liver
534,HLF-a,HLF-a,CVCL_2255,HLFa_550_2019,C3493,Squamous cell lung carcinoma,NA,NA,NA,NA,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung
535,HMC-1-8,HMC-1-8,CVCL_2949,HMC18_552_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
536,HMCB,HMCB,CVCL_3317,HMCB_553_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
537,HMEL,NA,CVCL_IZ34,HMEL_554_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
538,HMT-3522 S1,HMT-3522 S1,CVCL_2499,S1_1340_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
539,HMT-3522 T4-2,HMT-3522 T4-2,CVCL_2501,T4_1558_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
540,HMV-II,HMV-II,CVCL_1282,HMVII_555_2019,C27394,Vaginal melanoma,NA,NA,NA,NA,Mucosal Melanoma of the Vulva/Vagina,Melanoma,Vulva/Vagina
541,HMY-1,HMY-1,CVCL_2950,HMY1_556_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
542,HN,HN,CVCL_1283,HN_557_2019,C4833,Oral cavity squamous cell carcinoma,NA,NA,NA,NA,Oral Cavity Squamous Cell Carcinoma,Head and Neck Cancer,Head and Neck
