"","X","filename","dir","alias","center_name","accession","broker_name","Cell_line","Tissue_supergroup","Metastatic_Tissue","Primary_Tissue","Tissue_Diagnosis","Age","Age_Unit","Gender","Ethnicity","Growth_Media","Freeze_Media","ENA.CHECKLIST","cellid","batchid"
"EGAN00001187906","EGAN00001187906.sample.xml","EGAN00001187906.sample.xml","EGAD00001000725","636030","GENENTECH","ERS395347","EGA","G28T","Brain",NA,"Brain","Glioma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""FBS, 90%; DMSO, 10%""","ERC000026","G28T",NA
"EGAN00001187907","EGAN00001187907.sample.xml","EGAN00001187907.sample.xml","EGAD00001000725","636031","GENENTECH","ERS395348","EGA","G44","Brain",NA,"Brain","Glioma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""FBS, 90%; DMSO, 10%""","ERC000026","G44",NA
"EGAN00001187908","EGAN00001187908.sample.xml","EGAN00001187908.sample.xml","EGAD00001000725","636032","GENENTECH","ERS395349","EGA","G59","Brain",NA,"Brain","Glioma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""FBS, 90%; DMSO, 10%""","ERC000026","G59",NA
"EGAN00001187909","EGAN00001187909.sample.xml","EGAN00001187909.sample.xml","EGAD00001000725","636033","GENENTECH","ERS395350","EGA","G61","Brain",NA,"Brain","Glioma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""FBS, 90%; DMSO, 10%""","ERC000026","G61",NA
"EGAN00001187910","EGAN00001187910.sample.xml","EGAN00001187910.sample.xml","EGAD00001000725","636034","GENENTECH","ERS395351","EGA","G84","Brain",NA,"Brain","Glioma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","G84",NA
"EGAN00001187911","EGAN00001187911.sample.xml","EGAN00001187911.sample.xml","EGAD00001000725","636035","GENENTECH","ERS395352","EGA","G96","Brain",NA,"Brain","Glioma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""FBS, 90%; DMSO, 10%""","ERC000026","G96",NA
"EGAN00001187912","EGAN00001187912.sample.xml","EGAN00001187912.sample.xml","EGAD00001000725","587612","GENENTECH","ERS395353","EGA","GA-10","Lymphoid",NA,"Blood","Malignant Lymphoma - Burkitts Type","41","Years","Male","Caucasian","""RPMI-1640, 10% HI FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","GA-10",NA
"EGAN00001187913","EGAN00001187913.sample.xml","EGAN00001187913.sample.xml","EGAD00001000725","639156","GENENTECH","ERS395354","EGA","GP2d","Colo-Rectal",NA,"Colon","Adenocarcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","Gp2D",NA
"EGAN00001187914","EGAN00001187914.sample.xml","EGAN00001187914.sample.xml","EGAD00001000725","639157","GENENTECH","ERS395355","EGA","GP5d","Colo-Rectal",NA,"Colon","Adenocarcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","GP5d",NA
"EGAN00001187915","EGAN00001187915.sample.xml","EGAN00001187915.sample.xml","EGAD00001000725","636807","GENENTECH","ERS395356","EGA","GR-M","Skin",NA,"Skin","Melanoma","36","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","GR-M",NA
"EGAN00001187916","EGAN00001187916.sample.xml","EGAN00001187916.sample.xml","EGAD00001000725","587613","GENENTECH","ERS395357","EGA","GRANTA-519","Lymphoid",NA,"Lymph Node","Lymphoma B-cell","58","Years","Female","Caucasian","""RPMI-1640, 10% HI FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","GRANTA-519",NA
"EGAN00001187917","EGAN00001187917.sample.xml","EGAN00001187917.sample.xml","EGAD00001000725","587012","GENENTECH","ERS395358","EGA","GTL-16","Stomach",NA,"Stomach","Adenocarcinoma","62","Years","Female",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","90% FBS; 10% DMSO","ERC000026","GTL-16",NA
"EGAN00001187918","EGAN00001187918.sample.xml","EGAN00001187918.sample.xml","EGAD00001000725","635621","GENENTECH","ERS395359","EGA","H322T","Lung",NA,"Lung","Carcinoma Non-Small Cell",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","H322T",NA
"EGAN00001187919","EGAN00001187919.sample.xml","EGAN00001187919.sample.xml","EGAD00001000725","635984","GENENTECH","ERS395360","EGA","HBL-100","Breast",NA,"Breast","Normal","27","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HBL-100",NA
"EGAN00001187920","EGAN00001187920.sample.xml","EGAN00001187920.sample.xml","EGAD00001000725","636125","GENENTECH","ERS395361","EGA","HCA-7","Colo-Rectal",NA,"Colon","Adenocarcinoma","58","Years","Female",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCA-7",NA
"EGAN00001187921","EGAN00001187921.sample.xml","EGAN00001187921.sample.xml","EGAD00001000725","587541","GENENTECH","ERS395362","EGA","HCC-15","Lung",NA,"Lung","Carcinoma Non-Small Cell","48","Years","Male",NA,"""RPMI-1640 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC-15",NA
"EGAN00001187922","EGAN00001187922.sample.xml","EGAN00001187922.sample.xml","EGAD00001000725","636753","GENENTECH","ERS395363","EGA","HCC1011","Kidney",NA,"Kidney","Carcinoma Renal Cell","37","Years","Male","Hispanic","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1011",NA
"EGAN00001187923","EGAN00001187923.sample.xml","EGAN00001187923.sample.xml","EGAD00001000725","587446","GENENTECH","ERS395364","EGA","HCC1143","Breast",NA,"Breast","Adenocarcinoma Ductal","52","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1143",NA
"EGAN00001187924","EGAN00001187924.sample.xml","EGAN00001187924.sample.xml","EGAD00001000725","636108","GENENTECH","ERS395365","EGA","HCC1162","Uterus",NA,"Uterus","Adenocarcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1162",NA
"EGAN00001187925","EGAN00001187925.sample.xml","EGAN00001187925.sample.xml","EGAD00001000725","636065","GENENTECH","ERS395366","EGA","HCC1171","Lung",NA,"Lung","Carcinoma Non-Small Cell",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC-1171",NA
"EGAN00001187926","EGAN00001187926.sample.xml","EGAN00001187926.sample.xml","EGAD00001000725","587447","GENENTECH","ERS395367","EGA","HCC1187","Breast","Soft Tissue","Breast","Adenocarcinoma Ductal","41","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1187",NA
"EGAN00001187927","EGAN00001187927.sample.xml","EGAN00001187927.sample.xml","EGAD00001000725","636204","GENENTECH","ERS395368","EGA","HCC12","Kidney",NA,"Kidney","Carcinoma Renal Cell","45","Years","Female",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC12",NA
"EGAN00001187928","EGAN00001187928.sample.xml","EGAN00001187928.sample.xml","EGAD00001000725","636100","GENENTECH","ERS395369","EGA","HCC1263","Colo-Rectal",NA,"Colon","Adenocarcinoma","20","Years","Female","African","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1263",NA
"EGAN00001187929","EGAN00001187929.sample.xml","EGAN00001187929.sample.xml","EGAD00001000725","636758","GENENTECH","ERS395370","EGA","HCC1319","Kidney",NA,"Kidney","Carcinoma Renal Cell","68","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1319",NA
"EGAN00001187930","EGAN00001187930.sample.xml","EGAN00001187930.sample.xml","EGAD00001000725","636786","GENENTECH","ERS395371","EGA","HCC1359","Lung",NA,"Lung","Carcinoma Large Cell",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC-1359",NA
"EGAN00001187931","EGAN00001187931.sample.xml","EGAN00001187931.sample.xml","EGAD00001000725","587448","GENENTECH","ERS395372","EGA","HCC1395","Breast",NA,"Breast","Adenocarcinoma Ductal","43","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1395",NA
"EGAN00001187932","EGAN00001187932.sample.xml","EGAN00001187932.sample.xml","EGAD00001000725","587449","GENENTECH","ERS395373","EGA","HCC1419","Breast",NA,"Breast","Adenocarcinoma Ductal","42","Years","Female","Hispanic","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1419",NA
"EGAN00001187933","EGAN00001187933.sample.xml","EGAN00001187933.sample.xml","EGAD00001000725","587450","GENENTECH","ERS395374","EGA","HCC1428","Breast","""Effusion, Pleural""","Breast","Adenocarcinoma","49","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1428",NA
"EGAN00001187934","EGAN00001187934.sample.xml","EGAN00001187934.sample.xml","EGAD00001000725","636744","GENENTECH","ERS395375","EGA","HCC1482","Uterus",NA,"Uterus","Adenocarcinoma","62","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1482",NA
"EGAN00001187935","EGAN00001187935.sample.xml","EGAN00001187935.sample.xml","EGAD00001000725","636754","GENENTECH","ERS395376","EGA","HCC1493","Breast",NA,"Breast","Adenocarcinoma","43","Years","Male",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1493",NA
"EGAN00001187936","EGAN00001187936.sample.xml","EGAN00001187936.sample.xml","EGAD00001000725","587451","GENENTECH","ERS395377","EGA","HCC1500","Breast",NA,"Breast","Adenocarcinoma Ductal","32","Years","Female","African","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1500",NA
"EGAN00001187937","EGAN00001187937.sample.xml","EGAN00001187937.sample.xml","EGAD00001000725","636818","GENENTECH","ERS395378","EGA","HCC1534","Lung",NA,"Lung","Unknown",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1534",NA
"EGAN00001187938","EGAN00001187938.sample.xml","EGAN00001187938.sample.xml","EGAD00001000725","587452","GENENTECH","ERS395379","EGA","HCC1569","Breast",NA,"Breast","Carcinoma Metaplastic","70","Years","Female","African","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1569",NA
"EGAN00001187939","EGAN00001187939.sample.xml","EGAN00001187939.sample.xml","EGAD00001000725","636881","GENENTECH","ERS395380","EGA","HCC1576","Other",NA,"Adrenal","Unknown",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1576",NA
"EGAN00001187940","EGAN00001187940.sample.xml","EGAN00001187940.sample.xml","EGAD00001000725","587453","GENENTECH","ERS395381","EGA","HCC1599","Breast",NA,"Breast","Adenocarcinoma Ductal","44","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""FBS, 90%; DMSO, 10%""","ERC000026","HCC1599",NA
"EGAN00001187941","EGAN00001187941.sample.xml","EGAN00001187941.sample.xml","EGAD00001000725","587454","GENENTECH","ERS395382","EGA","HCC1806","Breast",NA,"Breast","Carcinoma Squamous Cell","60","Years","Female","African","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth media, 10% DMSO""","ERC000026","HCC1806",NA
"EGAN00001187942","EGAN00001187942.sample.xml","EGAN00001187942.sample.xml","EGAD00001000725","636196","GENENTECH","ERS395383","EGA","A-375","Skin",NA,"Skin","Melanoma",NA,NA,"Female",NA,"""RPMI-1640 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","A375",NA
"EGAN00001187943","EGAN00001187943.sample.xml","EGAN00001187943.sample.xml","EGAD00001000725","587455","GENENTECH","ERS395384","EGA","HCC1937","Breast","Soft Tissue","Breast","Adenocarcinoma Ductal","23","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1937",NA
"EGAN00001187944","EGAN00001187944.sample.xml","EGAN00001187944.sample.xml","EGAD00001000725","587456","GENENTECH","ERS395385","EGA","HCC1954","Breast","Soft Tissue","Breast","Adenocarcinoma Ductal","61","Years","Female","East Indian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC1954",NA
"EGAN00001187945","EGAN00001187945.sample.xml","EGAN00001187945.sample.xml","EGAD00001000725","587457","GENENTECH","ERS395386","EGA","HCC202","Breast",NA,"Breast","Adenocarcinoma Ductal","82","Years",NA,"Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC202",NA
"EGAN00001187946","EGAN00001187946.sample.xml","EGAN00001187946.sample.xml","EGAD00001000725","636038","GENENTECH","ERS395387","EGA","HCC2157","Breast",NA,"Breast","Adenocarcinoma Ductal","48","Years","Female","African","""RPMI-1640 10% FBS, 2mM L-Gln""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC2157",NA
"EGAN00001187947","EGAN00001187947.sample.xml","EGAN00001187947.sample.xml","EGAD00001000725","587458","GENENTECH","ERS395388","EGA","HCC2218","Breast","Soft Tissue","Breast","Adenocarcinoma Ductal","38","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC2218",NA
"EGAN00001187948","EGAN00001187948.sample.xml","EGAN00001187948.sample.xml","EGAD00001000725","636443","GENENTECH","ERS395389","EGA","HCC2270","Lung",NA,"Lung","Adenocarcinoma","64","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC2270",NA
"EGAN00001187949","EGAN00001187949.sample.xml","EGAN00001187949.sample.xml","EGAD00001000725","635622","GENENTECH","ERS395390","EGA","HCC2279","Lung",NA,"Lung","Adenocarcinoma","52","Years","Female",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC-2279",NA
"EGAN00001187950","EGAN00001187950.sample.xml","EGAN00001187950.sample.xml","EGAD00001000725","636773","GENENTECH","ERS395391","EGA","HCC2302","Lung",NA,"Lung","Adenocarcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC2302",NA
"EGAN00001187951","EGAN00001187951.sample.xml","EGAN00001187951.sample.xml","EGAD00001000725","635985","GENENTECH","ERS395392","EGA","HCC2688","Breast",NA,"Breast","Adenocarcinoma Ductal",NA,NA,"Female",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC2688",NA
"EGAN00001187952","EGAN00001187952.sample.xml","EGAN00001187952.sample.xml","EGAD00001000725","636444","GENENTECH","ERS395393","EGA","HCC2885","Lung",NA,"Lung","Carcinoma Non-Small Cell",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC2885",NA
"EGAN00001187953","EGAN00001187953.sample.xml","EGAN00001187953.sample.xml","EGAD00001000725","635986","GENENTECH","ERS395394","EGA","HCC2911","Breast",NA,"Breast","Carcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC2911",NA
"EGAN00001187954","EGAN00001187954.sample.xml","EGAN00001187954.sample.xml","EGAD00001000725","635623","GENENTECH","ERS395395","EGA","HCC2935","Lung",NA,"Lung","Adenocarcinoma","39","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""FBS, 90%; DMSO, 10%""","ERC000026","HCC2935",NA
"EGAN00001187955","EGAN00001187955.sample.xml","EGAN00001187955.sample.xml","EGAD00001000725","639151","GENENTECH","ERS395396","EGA","HCC33","Lung",NA,"Lung","Carcinoma Small Cell","53","Years","Male","Caucasian","""RPMI-1640, 20% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC-33",NA
"EGAN00001187956","EGAN00001187956.sample.xml","EGAN00001187956.sample.xml","EGAD00001000725","636858","GENENTECH","ERS395397","EGA","HCC364","Lung",NA,"Lung","Adenocarcinoma","76","Years","Male",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC364",NA
"EGAN00001187957","EGAN00001187957.sample.xml","EGAN00001187957.sample.xml","EGAD00001000725","636844","GENENTECH","ERS395398","EGA","HCC366","Lung",NA,"Lung","Carcinoma Non-Small Cell","80","Years","Female",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC-366",NA
"EGAN00001187958","EGAN00001187958.sample.xml","EGAN00001187958.sample.xml","EGAD00001000725","587459","GENENTECH","ERS395399","EGA","HCC38","Breast","Soft Tissue","Breast","Adenocarcinoma Ductal","50","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC38",NA
"EGAN00001187959","EGAN00001187959.sample.xml","EGAN00001187959.sample.xml","EGAD00001000725","635624","GENENTECH","ERS395400","EGA","HCC4006","Lung",NA,"Lung","Adenocarcinoma","50","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC4006",NA
"EGAN00001187960","EGAN00001187960.sample.xml","EGAN00001187960.sample.xml","EGAD00001000725","635625","GENENTECH","ERS395401","EGA","HCC4011","Lung",NA,"Lung","Adenocarcinoma","53","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC4011",NA
"EGAN00001187961","EGAN00001187961.sample.xml","EGAN00001187961.sample.xml","EGAD00001000725","636066","GENENTECH","ERS395402","EGA","HCC4017","Lung",NA,"Lung","Carcinoma Large Cell",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC4017",NA
"EGAN00001187962","EGAN00001187962.sample.xml","EGAN00001187962.sample.xml","EGAD00001000725","636135","GENENTECH","ERS395403","EGA","HCC44","Lung",NA,"Lung","Carcinoma Non-Small Cell","54","Years","Female",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC-44",NA
"EGAN00001187963","EGAN00001187963.sample.xml","EGAN00001187963.sample.xml","EGAD00001000725","636850","GENENTECH","ERS395404","EGA","HCC461","Lung",NA,"Lung","Adenocarcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC461",NA
"EGAN00001187964","EGAN00001187964.sample.xml","EGAN00001187964.sample.xml","EGAD00001000725","636067","GENENTECH","ERS395405","EGA","HCC515","Lung",NA,"Lung","Adenocarcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC515",NA
"EGAN00001187965","EGAN00001187965.sample.xml","EGAN00001187965.sample.xml","EGAD00001000725","636784","GENENTECH","ERS395406","EGA","HCC60","Ovary",NA,"Ovary","Carcinoma","26","Years","Female","African","#N/A","#N/A","ERC000026","HCC60",NA
"EGAN00001187966","EGAN00001187966.sample.xml","EGAN00001187966.sample.xml","EGAD00001000725","636749","GENENTECH","ERS395407","EGA","HCC630","Ovary",NA,"Ovary","Carcinoma","32","Years","Female","Hispanic","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC630",NA
"EGAN00001187967","EGAN00001187967.sample.xml","EGAN00001187967.sample.xml","EGAD00001000725","587460","GENENTECH","ERS395408","EGA","HCC70","Breast",NA,"Breast","Adenocarcinoma Ductal","49","Years","Female","African","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC70",NA
"EGAN00001187968","EGAN00001187968.sample.xml","EGAN00001187968.sample.xml","EGAD00001000725","636197","GENENTECH","ERS395409","EGA","HCC78","Lung",NA,"Lung","Adenocarcinoma","65","Years","Male",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC-78",NA
"EGAN00001187969","EGAN00001187969.sample.xml","EGAN00001187969.sample.xml","EGAD00001000725","635626","GENENTECH","ERS395410","EGA","HCC827","Lung",NA,"Lung","Adenocarcinoma",NA,NA,"Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC827",NA
"EGAN00001187970","EGAN00001187970.sample.xml","EGAN00001187970.sample.xml","EGAD00001000725","636205","GENENTECH","ERS395411","EGA","HCC89","Kidney",NA,"Kidney","Carcinoma Renal Cell","64","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCC89",NA
"EGAN00001187971","EGAN00001187971.sample.xml","EGAN00001187971.sample.xml","EGAD00001000725","636045","GENENTECH","ERS395412","EGA","HCT 116","Colo-Rectal",NA,"Colon","Carcinoma",NA,NA,"Male",NA,"""McCoys 5A,  10% FBS, 2mM L-glutamine""","""50% FBS, 40% media, 10% DMSO""","ERC000026","HCT-116",NA
"EGAN00001187972","EGAN00001187972.sample.xml","EGAN00001187972.sample.xml","EGAD00001000725","587499","GENENTECH","ERS395413","EGA","HCT-15","Colo-Rectal",NA,"Colon","Adenocarcinoma",NA,NA,"Male",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""90% FBS, 10% DMSO""","ERC000026","HCT-15",NA
"EGAN00001187973","EGAN00001187973.sample.xml","EGAN00001187973.sample.xml","EGAD00001000725","587500","GENENTECH","ERS395414","EGA","HCT-8","Colo-Rectal",NA,"Ileum","Adenocarcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HCT-8",NA
"EGAN00001187974","EGAN00001187974.sample.xml","EGAN00001187974.sample.xml","EGAD00001000725","636778","GENENTECH","ERS395415","EGA","HEC-1-A","Uterus","Endometrium","Uterus","Adenocarcinoma","71","Years","Female",NA,"""McCoys 5A, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HEC-1-A",NA
"EGAN00001187975","EGAN00001187975.sample.xml","EGAN00001187975.sample.xml","EGAD00001000725","587410","GENENTECH","ERS395416","EGA","HEL","Lymphoid",NA,"Blood","Erythroleukemia","30","Years","Male",NA,"""RPMI-1640, 10% HI FBS, 2mM Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HEL",NA
"EGAN00001187976","EGAN00001187976.sample.xml","EGAN00001187976.sample.xml","EGAD00001000725","636798","GENENTECH","ERS395417","EGA","HeLa","Cervix",NA,"Cervix","Adenocarcinoma",NA,NA,"Female","African","""EMEM, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HeLa",NA
"EGAN00001187977","EGAN00001187977.sample.xml","EGAN00001187977.sample.xml","EGAD00001000725","636795","GENENTECH","ERS395418","EGA","Hep G2","Liver",NA,"Liver","Carcinoma Hepatocellular","15","Years","Male","Caucasian","""EMEM ATCC, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","Hep G2",NA
"EGAN00001187978","EGAN00001187978.sample.xml","EGAN00001187978.sample.xml","EGAD00001000725","636435","GENENTECH","ERS395419","EGA","HEp-2","Cervix",NA,"Cervix","Adenocarcinoma",NA,NA,NA,NA,"""EMEM, 10% FBS, 2mM Glutamine""","""90% FBS, 10% DMSO""","ERC000026","HEp-2",NA
"EGAN00001187979","EGAN00001187979.sample.xml","EGAN00001187979.sample.xml","EGAD00001000725","587673","GENENTECH","ERS395420","EGA","HEY","Ovary",NA,"Ovary","Carcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","90% FBS ; 10% DMSO","ERC000026","HEY",NA
"EGAN00001187980","EGAN00001187980.sample.xml","EGAN00001187980.sample.xml","EGAD00001000725","636885","GENENTECH","ERS395421","EGA","HGC-27","Stomach",NA,"Stomach","Carcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HGC-27",NA
"EGAN00001187981","EGAN00001187981.sample.xml","EGAN00001187981.sample.xml","EGAD00001000725","639162","GENENTECH","ERS395422","EGA","HL-60","Lymphoid",NA,"Blood","Leukemia",NA,NA,NA,NA,"""RPMI-1640, 10% HI FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HL-60",NA
"EGAN00001187982","EGAN00001187982.sample.xml","EGAN00001187982.sample.xml","EGAD00001000725","636046","GENENTECH","ERS395423","EGA","HM7","Colo-Rectal",NA,"Colon","Adenocarcinoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""90% FBS, 10% DMSO""","ERC000026","HM7",NA
"EGAN00001187983","EGAN00001187983.sample.xml","EGAN00001187983.sample.xml","EGAD00001000725","636865","GENENTECH","ERS395424","EGA","HMY-1","Skin",NA,"Skin","Melanoma","62","Years","Male","Japanese","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","HMY-1",NA
