,BHKLAB.DRUGID,SMILES,INCHIKEY,PUBCHEM CID,DATABASE ID,MOLECULE_NAME,TARGET_NAME,DATABASE
4274,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,NA,disopyramide,SCN5A,CLUE.IO
4275,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,DB00280,Disopyramide,ORM2,DrugBank
4276,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,NA,disopyramide,CHRM3,CLUE.IO
4277,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,NA,disopyramide,KCNH2,CLUE.IO
4278,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,CHEMBL517,Disopyramide,SCN11A,ChEMBL
4279,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,DB00280,Disopyramide,CHRM1,DrugBank
4280,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,CHEMBL517,Disopyramide,SCN2A,ChEMBL
4281,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,CHEMBL517,Disopyramide,SCN3A,ChEMBL
4282,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,DB00280,Disopyramide,KCNH2,DrugBank
4283,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,CHEMBL517,Disopyramide,SCN9A,ChEMBL
4284,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,NA,disopyramide,CHRM2,CLUE.IO
4285,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,DB00280,Disopyramide,KCND3,DrugBank
4286,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,DB00280,Disopyramide,SCN5A,DrugBank
4287,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,CHEMBL517,Disopyramide,SCN10A,ChEMBL
4288,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,DB00280,Disopyramide,KCND2,DrugBank
4289,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,CHEMBL517,Disopyramide,SCN7A,ChEMBL
4290,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,DB00280,Disopyramide,CHRM3,DrugBank
4291,Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,3114,CHEMBL517,Disopyramide,SCN4A,ChEMBL
4292,"Disulfide, ethyl (methylsulfonyl)methyl",CCSSCS(=O)(=O)C,BEMDGXSOILVUJR-UHFFFAOYSA-N,401305,NA,NA,NA,NA
4293,Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,3117,NA,disulfiram,ALDH2,CLUE.IO
4294,Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,3117,DB00822,Disulfiram,DBH,DrugBank
4295,Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,3117,CHEMBL964,Disulfiram,ALDH2,ChEMBL
4296,Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,3117,NA,disulfiram,DBH,CLUE.IO
4297,Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,3117,DB00822,Disulfiram,ALDH2,DrugBank
4298,Dizocilpine,C[C@@]1(N[C@@H]2Cc3ccccc31)c4ccccc24,LBOJYSIDWZQNJS-CVEARBPZSA-N,180081,NA,dizocilpine-(+),GRIN2C,CLUE.IO
4299,Dizocilpine,C[C@@]1(N[C@@H]2Cc3ccccc31)c4ccccc24,LBOJYSIDWZQNJS-CVEARBPZSA-N,180081,NA,dizocilpine-(+),GRIN2B,CLUE.IO
4300,Dizocilpine,C[C@@]1(N[C@@H]2Cc3ccccc31)c4ccccc24,LBOJYSIDWZQNJS-CVEARBPZSA-N,180081,NA,dizocilpine-(+),GRIN1,CLUE.IO
4301,Dizocilpine,C[C@@]1(N[C@@H]2Cc3ccccc31)c4ccccc24,LBOJYSIDWZQNJS-CVEARBPZSA-N,180081,NA,dizocilpine-(+),GRIN2A,CLUE.IO
4302,Dizocilpine,C[C@@]1(N[C@@H]2Cc3ccccc31)c4ccccc24,LBOJYSIDWZQNJS-CVEARBPZSA-N,180081,NA,dizocilpine-(+),GRIN2D,CLUE.IO
4303,dl-alpha tocopherol,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2c(C)c(O)c(C)c(C)c2O1,GVJHHUAWPYXKBD-UHFFFAOYSA-N,2116,NA,NA,NA,NA
4304,DL-Ppmp,CCCCCCCCCCCCCCCC(=O)N[C@H](CN1CCOCC1)[C@H](O)c2ccccc2,ORVAUBQYJOFWFY-ZHESDOBJSA-N,49837889,NA,NA,NA,NA
4305,DL-TBOA,C1=CC=C(C=C1)COC(C(C(=O)O)N)C(=O)O,BYOBCYXURWDEDS-UHFFFAOYSA-N,4133412,NA,NA,NA,NA
4306,Dobutamine,CC(CNCCc1ccc(O)c(O)c1)Cc2cccc(O)c2,JRWZLRBJNMZMFE-UHFFFAOYSA-N,36811,CHEMBL926,Dobutamine,ADRB2,ChEMBL
4307,Dobutamine,CC(CNCCc1ccc(O)c(O)c1)Cc2cccc(O)c2,JRWZLRBJNMZMFE-UHFFFAOYSA-N,36811,DB00841,Dobutamine,ADRB1,DrugBank
4308,Dobutamine,CC(CNCCc1ccc(O)c(O)c1)Cc2cccc(O)c2,JRWZLRBJNMZMFE-UHFFFAOYSA-N,36811,DB00841,Dobutamine,ESR1,DrugBank
4309,Dobutamine,CC(CNCCc1ccc(O)c(O)c1)Cc2cccc(O)c2,JRWZLRBJNMZMFE-UHFFFAOYSA-N,36811,DB00841,Dobutamine,ADRA1B,DrugBank
4310,Dobutamine,CC(CNCCc1ccc(O)c(O)c1)Cc2cccc(O)c2,JRWZLRBJNMZMFE-UHFFFAOYSA-N,36811,DB00841,Dobutamine,ADRA1D,DrugBank
4311,Dobutamine,CC(CNCCc1ccc(O)c(O)c1)Cc2cccc(O)c2,JRWZLRBJNMZMFE-UHFFFAOYSA-N,36811,DB00841,Dobutamine,ADRA1A,DrugBank
4312,Dobutamine,CC(CNCCc1ccc(O)c(O)c1)Cc2cccc(O)c2,JRWZLRBJNMZMFE-UHFFFAOYSA-N,36811,NA,dobutamine,ADRB2,CLUE.IO
4313,Dobutamine,CC(CNCCc1ccc(O)c(O)c1)Cc2cccc(O)c2,JRWZLRBJNMZMFE-UHFFFAOYSA-N,36811,DB00841,Dobutamine,ADRB2,DrugBank
4314,Dobutamine,CC(CNCCc1ccc(O)c(O)c1)Cc2cccc(O)c2,JRWZLRBJNMZMFE-UHFFFAOYSA-N,36811,CHEMBL926,Dobutamine,ADRB1,ChEMBL
4315,Dobutamine,CC(CNCCc1ccc(O)c(O)c1)Cc2cccc(O)c2,JRWZLRBJNMZMFE-UHFFFAOYSA-N,36811,NA,dobutamine,ADRB1,CLUE.IO
4316,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,NA,docetaxel,MAP2,CLUE.IO
4317,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,CHEMBL92,Docetaxel,TUBA1C,ChEMBL
4318,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,CHEMBL92,Docetaxel,TUBB8,ChEMBL
4319,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,DB01248,Docetaxel,TUBB1,DrugBank
4320,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,NA,docetaxel,NR1I2,CLUE.IO
4321,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,DB01248,Docetaxel,MAP2,DrugBank
4322,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,NA,docetaxel,BCL2,CLUE.IO
4323,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,CHEMBL92,Docetaxel,TUBB4B,ChEMBL
4324,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,DB01248,Docetaxel,BCL2,DrugBank
4325,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,CHEMBL92,Docetaxel,TUBA3C,ChEMBL
4326,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,CHEMBL92,Docetaxel,TUBA4A,ChEMBL
4327,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,DB01248,Docetaxel,MAP4,DrugBank
4328,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,DB01248,Docetaxel,MAPT,DrugBank
4329,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,NA,docetaxel,MAP4,CLUE.IO
4330,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,NA,docetaxel,TUBB1,CLUE.IO
4331,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,CHEMBL92,Docetaxel,TUBB,ChEMBL
4332,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,NA,docetaxel,MAPT,CLUE.IO
4333,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,CHEMBL92,Docetaxel,TUBB1,ChEMBL
4334,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,DB01248,Docetaxel,NR1I2,DrugBank
4335,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,CHEMBL92,Docetaxel,TUBA1B,ChEMBL
4336,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,CHEMBL92,Docetaxel,TUBB2B,ChEMBL
4337,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,NA,docetaxel,TUBB,CLUE.IO
4338,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,CHEMBL92,Docetaxel,TUBB3,ChEMBL
4339,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,CHEMBL92,Docetaxel,TUBB2A,ChEMBL
4340,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,CHEMBL92,Docetaxel,TUBA3E,ChEMBL
4341,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,CHEMBL92,Docetaxel,TUBB6,ChEMBL
4342,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,CHEMBL92,Docetaxel,TUBB4A,ChEMBL
4343,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,CHEMBL92,Docetaxel,TUBA1A,ChEMBL
4344,Dodecyl(dimethyl)sulfonium iodide,CCCCCCCCCCCC[S+](C)C.[I-],CWMLLWRTIPJOKV-UHFFFAOYSA-M,19021065,NA,NA,NA,NA
4345,Domperidone,Clc1ccc2n(C3CCN(CCCn4c(=O)[nH]c5ccccc45)CC3)c(=O)[nH]c2c1,FGXWKSZFVQUSTL-UHFFFAOYSA-N,3151,DB01184,Domperidone,DRD3,DrugBank
4346,Domperidone,Clc1ccc2n(C3CCN(CCCn4c(=O)[nH]c5ccccc45)CC3)c(=O)[nH]c2c1,FGXWKSZFVQUSTL-UHFFFAOYSA-N,3151,NA,domperidone,DRD2,CLUE.IO
4347,Domperidone,Clc1ccc2n(C3CCN(CCCn4c(=O)[nH]c5ccccc45)CC3)c(=O)[nH]c2c1,FGXWKSZFVQUSTL-UHFFFAOYSA-N,3151,DB01184,Domperidone,DRD2,DrugBank
4348,Domperidone,Clc1ccc2n(C3CCN(CCCn4c(=O)[nH]c5ccccc45)CC3)c(=O)[nH]c2c1,FGXWKSZFVQUSTL-UHFFFAOYSA-N,3151,NA,domperidone,DRD3,CLUE.IO
4349,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,DB00988,Dopamine,SLC18A2,DrugBank
4350,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,DB00988,Dopamine,SOD1,DrugBank
4351,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,DB00988,Dopamine,SLC6A3,DrugBank
4352,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,DB00988,Dopamine,DBH,DrugBank
4353,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,DB00988,Dopamine,HTR7,DrugBank
4354,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,DB00988,Dopamine,SLC6A4,DrugBank
4355,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,DB00988,Dopamine,HTR3A,DrugBank
4356,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,NA,dopamine,HTR7,CLUE.IO
4357,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,DB00988,Dopamine,HTR1A,DrugBank
4358,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,NA,dopamine,DRD4,CLUE.IO
4359,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,DB00988,Dopamine,DRD2,DrugBank
4360,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,CHEMBL59,Dopamine,ADRB1,ChEMBL
4361,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,NA,dopamine,DRD2,CLUE.IO
4362,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,NA,dopamine,DRD3,CLUE.IO
4363,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,NA,dopamine,SLC6A2,CLUE.IO
4364,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,DB00988,Dopamine,HTR3B,DrugBank
4365,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,DB00988,Dopamine,DRD1,DrugBank
4366,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,NA,dopamine,DRD1,CLUE.IO
4367,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,DB00988,Dopamine,SLC6A2,DrugBank
4368,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,NA,dopamine,DBH,CLUE.IO
4369,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,DB00988,Dopamine,DRD4,DrugBank
4370,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,NA,dopamine,SLC6A3,CLUE.IO
4371,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,DB00988,Dopamine,DRD5,DrugBank
4372,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,NA,dopamine,DRD5,CLUE.IO
4373,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,DB00988,Dopamine,DRD3,DrugBank
4374,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,NA,dopamine,HTR1A,CLUE.IO
4375,Dopamine,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,NA,dopamine,SLC6A4,CLUE.IO
4376,Doramapimod,NA,NA,NA,CHEMBL103667,Doramapimod,MAPK14,ChEMBL
4377,Doramapimod,NA,NA,NA,NA,doramapimod,MAPK11,CLUE.IO
4378,Doramapimod,NA,NA,NA,NA,doramapimod,MAPK12,CLUE.IO
4379,Doramapimod,NA,NA,NA,NA,doramapimod,MAPK14,CLUE.IO
4380,Doramapimod,NA,NA,NA,NA,doramapimod,MAPK13,CLUE.IO
4381,Dorzolamide,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N,IAVUPMFITXYVAF-XPUUQOCRSA-N,5284549,NA,dorzolamide,CA14,CLUE.IO
4382,Dorzolamide,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N,IAVUPMFITXYVAF-XPUUQOCRSA-N,5284549,NA,dorzolamide,CA4,CLUE.IO
4383,Dorzolamide,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N,IAVUPMFITXYVAF-XPUUQOCRSA-N,5284549,DB00869,Dorzolamide,CA1,DrugBank
4384,Dorzolamide,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N,IAVUPMFITXYVAF-XPUUQOCRSA-N,5284549,NA,dorzolamide,CA1,CLUE.IO
4385,Dorzolamide,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N,IAVUPMFITXYVAF-XPUUQOCRSA-N,5284549,CHEMBL218490,Dorzolamide,CA2,ChEMBL
4386,Dorzolamide,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N,IAVUPMFITXYVAF-XPUUQOCRSA-N,5284549,NA,dorzolamide,CA2,CLUE.IO
4387,Dorzolamide,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N,IAVUPMFITXYVAF-XPUUQOCRSA-N,5284549,DB00869,Dorzolamide,CA4,DrugBank
4388,Dorzolamide,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N,IAVUPMFITXYVAF-XPUUQOCRSA-N,5284549,NA,dorzolamide,CA12,CLUE.IO
4389,Dorzolamide,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N,IAVUPMFITXYVAF-XPUUQOCRSA-N,5284549,NA,dorzolamide,CA7,CLUE.IO
4390,Dorzolamide,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N,IAVUPMFITXYVAF-XPUUQOCRSA-N,5284549,DB00869,Dorzolamide,CA2,DrugBank
4391,Dorzolamide,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N,IAVUPMFITXYVAF-XPUUQOCRSA-N,5284549,DB00869,Dorzolamide,CA3,DrugBank
4392,Dosulepin,CN(C)CC/C=C\1/c2ccccc2CSc3ccccc13,PHTUQLWOUWZIMZ-BOPFTXTBSA-N,5282426,DB09167,Dosulepin,CHRM1,DrugBank
4393,Dosulepin,CN(C)CC/C=C\1/c2ccccc2CSc3ccccc13,PHTUQLWOUWZIMZ-BOPFTXTBSA-N,5282426,DB09167,Dosulepin,CHRM4,DrugBank
