"id","Drug","Synonym"
"7682","Cyclophosphamide","NCGC00015209-04"
"7683","Cyclophosphamide","NCGC00015209-06"
"7684","Cyclophosphamide","NCGC00015209-07"
"7685","Cyclophosphamide","NCGC00015209-08"
"7686","Cyclophosphamide","NCGC00015209-09"
"7687","Cyclophosphamide","NCGC00015209-12"
"7688","Cyclophosphamide","NCGC00091741-02"
"7689","Cyclophosphamide","NCGC00091741-03"
"7690","Cyclophosphamide","NCGC00260923-01"
"7691","Cyclophosphamide","60007-95-6"
"7692","Cyclophosphamide","ACM173547450"
"7693","Cyclophosphamide","AS-73255"
"7694","Cyclophosphamide","HY-17420"
"7695","Cyclophosphamide","LS-99787"
"7696","Cyclophosphamide","NCI60_002097"
"7697","Cyclophosphamide","OR322611"
"7698","Cyclophosphamide","SC-22408"
"7699","Cyclophosphamide","SC-47258"
"7700","Cyclophosphamide","SC-91286"
"7701","Cyclophosphamide","N,O-propylenephosphoric acid ester diamide"
"7702","Cyclophosphamide","SBI-0050226.P003"
"7703","Cyclophosphamide","2-(4-FLUOROPHENYL)CYCLOPROPYL]AMINE"
"7704","Cyclophosphamide","AB0007927"
"7705","Cyclophosphamide","DB-082057"
"7706","Cyclophosphamide","N,O-propylene-phosphoric acid ester diamide"
"7707","Cyclophosphamide","TC-063558"
"7708","Cyclophosphamide","TR-037249"
"7709","Cyclophosphamide","A2343"
"7710","Cyclophosphamide","EU-0100238"
"7711","Cyclophosphamide","FT-0624276"
"7712","Cyclophosphamide","N,O-trimethylenephosphoric acid ester diamide"
"7713","Cyclophosphamide","ST51005945"
"7714","Cyclophosphamide","3356-EP2269989A1"
"7715","Cyclophosphamide","3356-EP2270001A1"
"7716","Cyclophosphamide","3356-EP2270008A1"
"7717","Cyclophosphamide","3356-EP2270014A1"
"7718","Cyclophosphamide","3356-EP2270018A1"
"7719","Cyclophosphamide","3356-EP2270505A1"
"7720","Cyclophosphamide","3356-EP2272822A1"
"7721","Cyclophosphamide","3356-EP2272825A2"
"7722","Cyclophosphamide","3356-EP2272827A1"
"7723","Cyclophosphamide","3356-EP2275102A1"
"7724","Cyclophosphamide","3356-EP2275412A1"
"7725","Cyclophosphamide","3356-EP2275413A1"
"7726","Cyclophosphamide","3356-EP2275420A1"
"7727","Cyclophosphamide","3356-EP2277865A1"
"7728","Cyclophosphamide","3356-EP2277876A1"
"7729","Cyclophosphamide","3356-EP2280012A2"
"7730","Cyclophosphamide","3356-EP2281815A1"
"7731","Cyclophosphamide","3356-EP2281818A1"
"7732","Cyclophosphamide","3356-EP2287156A1"
"7733","Cyclophosphamide","3356-EP2289892A1"
"7734","Cyclophosphamide","3356-EP2289894A2"
"7735","Cyclophosphamide","3356-EP2292233A2"
"7736","Cyclophosphamide","3356-EP2292595A1"
"7737","Cyclophosphamide","3356-EP2292614A1"
"7738","Cyclophosphamide","3356-EP2292615A1"
"7739","Cyclophosphamide","3356-EP2292617A1"
"7740","Cyclophosphamide","3356-EP2295055A2"
"7741","Cyclophosphamide","3356-EP2295412A1"
"7742","Cyclophosphamide","3356-EP2295413A1"
"7743","Cyclophosphamide","3356-EP2295416A2"
"7744","Cyclophosphamide","3356-EP2295426A1"
"7745","Cyclophosphamide","3356-EP2295427A1"
"7746","Cyclophosphamide","3356-EP2298743A1"
"7747","Cyclophosphamide","3356-EP2298746A1"
"7748","Cyclophosphamide","3356-EP2298748A2"
"7749","Cyclophosphamide","3356-EP2298764A1"
"7750","Cyclophosphamide","3356-EP2298765A1"
"7751","Cyclophosphamide","3356-EP2298767A1"
"7752","Cyclophosphamide","3356-EP2298768A1"
"7753","Cyclophosphamide","3356-EP2298772A1"
"7754","Cyclophosphamide","3356-EP2298778A1"
"7755","Cyclophosphamide","3356-EP2298780A1"
"7756","Cyclophosphamide","3356-EP2301928A1"
"7757","Cyclophosphamide","3356-EP2301933A1"
"7758","Cyclophosphamide","3356-EP2305250A1"
"7759","Cyclophosphamide","3356-EP2305640A2"
"7760","Cyclophosphamide","3356-EP2305642A2"
"7761","Cyclophosphamide","3356-EP2305671A1"
"7762","Cyclophosphamide","3356-EP2305677A1"
"7763","Cyclophosphamide","3356-EP2305689A1"
"7764","Cyclophosphamide","3356-EP2308812A2"
"7765","Cyclophosphamide","3356-EP2308833A2"
"7766","Cyclophosphamide","3356-EP2308839A1"
"7767","Cyclophosphamide","3356-EP2308855A1"
"7768","Cyclophosphamide","3356-EP2308861A1"
"7769","Cyclophosphamide","3356-EP2311453A1"
"7770","Cyclophosphamide","3356-EP2311807A1"
"7771","Cyclophosphamide","3356-EP2311808A1"
"7772","Cyclophosphamide","3356-EP2311825A1"
"7773","Cyclophosphamide","3356-EP2311827A1"
"7774","Cyclophosphamide","3356-EP2311829A1"
"7775","Cyclophosphamide","3356-EP2311837A1"
"7776","Cyclophosphamide","3356-EP2311840A1"
"7777","Cyclophosphamide","3356-EP2311842A2"
"7778","Cyclophosphamide","3356-EP2314587A1"
"7779","Cyclophosphamide","3356-EP2314590A1"
"7780","Cyclophosphamide","3356-EP2316831A1"
"7781","Cyclophosphamide","3356-EP2316832A1"
"7782","Cyclophosphamide","3356-EP2316833A1"
"7783","Cyclophosphamide","3356-EP2316834A1"
"7784","Cyclophosphamide","3356-EP2371811A2"
"7785","Cyclophosphamide","3356-EP2374454A1"
"7786","Cyclophosphamide","C07888"
"7787","Cyclophosphamide","D07760"
"7788","Cyclophosphamide","W-5035"
"7789","Cyclophosphamide","27353-EP2269998A2"
"7790","Cyclophosphamide","27353-EP2272516A2"
"7791","Cyclophosphamide","27353-EP2275404A1"
"7792","Cyclophosphamide","27353-EP2275469A1"
"7793","Cyclophosphamide","27353-EP2284171A1"
"7794","Cyclophosphamide","27353-EP2287940A1"
"7795","Cyclophosphamide","27353-EP2292227A2"
"7796","Cyclophosphamide","27353-EP2295550A2"
"7797","Cyclophosphamide","27353-EP2298762A2"
"7798","Cyclophosphamide","27353-EP2298768A1"
"7799","Cyclophosphamide","27353-EP2308839A1"
"7800","Cyclophosphamide","27353-EP2314587A1"
"7801","Cyclophosphamide","27353-EP2371795A1"
"7802","Cyclophosphamide","AB00053446-09"
"7803","Cyclophosphamide","AB00053446-11"
"7804","Cyclophosphamide","AB00053446-12"
"7805","Cyclophosphamide","AB00053446_13"
"7806","Cyclophosphamide","AB00053446_14"
"7807","Cyclophosphamide","AB00053446_15"
"7808","Cyclophosphamide","005C978"
"7809","Cyclophosphamide","110841-EP2272827A1"
"7810","Cyclophosphamide","110841-EP2298305A1"
"7811","Cyclophosphamide","139301-EP2270008A1"
"7812","Cyclophosphamide","139301-EP2292617A1"
"7813","Cyclophosphamide","Q408524"
"7814","Cyclophosphamide","W-60377"
"7815","Cyclophosphamide","N,O-propylenephosphoric acid ester amide monohydrate"
"7816","Cyclophosphamide","SR-01000075737-1"
"7817","Cyclophosphamide","SR-01000075737-6"
"7818","Cyclophosphamide","BRD-A09722536-002-02-4"
"7819","Cyclophosphamide","UNII-6UXW23996M component CMSMOCZEIVJLDB-CQSZACIVSA-N"
"7820","Cyclophosphamide","2-(bis(2-chloroethyl)amino)-1,3,2-oxazaphosphinane 2-oxide"
"7821","Cyclophosphamide","2-[bis(2-chloroethyl)amino]-1,3,2??-oxazaphosphinan-2-one"
"7822","Cyclophosphamide","2-[BIS(2-CHLOROETHYL)AMINO]TETRAHYDRO-2H-1,3,2-OXA"
"7823","Cyclophosphamide","2-[bis(2-chloroethyl)amino]-1,3,2$l^{5}-oxazaphosphinan-2-one"
"7824","Cyclophosphamide","2-[bis(2-chloroethyl)amino]-1,3,2-oxazaphosphaperhydroin-2-one"
"7825","Cyclophosphamide","2-[Bis(2-chloroethyl)amino]-1,3,2lambda~5~-oxazaphosphinan-2-one"
"7826","Cyclophosphamide","N,N-Bis(2-chloroethyl)-1,3,2-oxazaphosphinan-2-amine 2-oxide #"
"7827","Cyclophosphamide","2-(bis(2-Chloroethyl)-amino)tetrahydro-2H-1,3,2-oxazaphosphorine 2-oxide"
"7828","Cyclophosphamide","2-(di(2-chloroethyl)amino)-1-oxa-3-aza-2-phosphacyclohexane 2-oxide"
"7829","Cyclophosphamide","2-(Di(2-chloroethyl)amino)-2-phospha(V)-tetrahydro-2H-1,3-oxazine-2-one"
"7830","Cyclophosphamide","2-[Bis(2-chloroethyl)amino]tetrahydro-1,3,2-oxazaphosphorin-2-oxide"
"7831","Cyclophosphamide","2H-1,2-Oxazaphosphorine, 2-[bis(2-chloroethyl)amino]tetrahydro-, 2-oxide"
"7832","Cyclophosphamide","2H-1,3,2-Oxazaphosphorine, 2-(bis(2-chloroethyl)amino)tetrahydro-,2-oxide"
"7833","Cyclophosphamide","N,N-Bis(.beta.-chloroethyl)-N',O-trimethylenephosphoric acid ester diamide"
"7834","Cyclophosphamide","N,N-Bis(2-chloroethyl)-1,3,2-oxazaphosphinan-2-amine 2-oxide (H2O)"
"7835","Cyclophosphamide","N,N-Bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine-2-oxide"
"7836","Cyclophosphamide","N,N-Bis-(.beta.-chloraethyl)-N',O-propylen-phosphorsaeure-ester-diamid"
"7837","Cyclophosphamide","N-bis(beta-Chloroethyl)-N'O,trimethylenephos phoric acid ester diamide"
"7838","Cyclophosphamide","N-bis(beta-Chloroethyl)-N'O,trimethylenephosphoric acid ester diamide"
"7839","Cyclophosphamide","tatrahydro-2-(Bis(2-chloroethyl)amino)-2H-1,3,2-oxazaphosphorine 2-oxide"
"7840","Cyclophosphamide","(+/-)-2-[Bis(2-chloroethyl)amino]tetrahydro-2 H-1,3,2-oxazaphosphorine 2-oxide"
"7841","Cyclophosphamide","(R)-2-[Bis(2-chloroethyl)amino]tetrahydro-2H-1,3,2-oxazaphosphorin 2-oxide"
"7842","Cyclophosphamide","(S)-2-[Bis(2-chloroethyl)amino]tetrahydro-2H-1,3,2-oxazaphosphorine 2-oxide"
"7843","Cyclophosphamide","2H-1,2-Oxazaphosphorin-2-amine, N,N-bis(2-chloroethyl)tetrahydro-, 2-oxide"
"7844","Cyclophosphamide","2H-1,2-Oxazaphosphorin-2-amine, N,N-bis(2-chloroethyl)tetrahydro-, 2-oxide, (+)-"
"7845","Cyclophosphamide","2H-1,2-Oxazaphosphorin-2-amine, N,N-bis(2-chloroethyl)tetrahydro-, 2-oxide, (-)-"
"7846","Cyclophosphamide","2H-1,2-Oxazaphosphorine, 2-[bis(2-chloroethyl)amino]tetrahydro-, 2-oxide, monohydrate"
"7847","Cyclophosphamide","2H-1,3,2-Oxazaphosphorin-2-amine, N,N-bis(2-chloroethyl)tetrahydro-, 2-oxide (9CI)"
"7848","Cyclophosphamide","2H-1,3,2-Oxazaphosphorin-2-amine, N,N-bis(2-chloroethyl)tetrahydro-,2-oxide"
"7849","Cyclophosphamide","N,N-bis(2-chloroethyl)-2-oxo-1-oxa-3-aza-2$l^{5}-phosphacyclohexan-2-amine"
"7850","Cyclophosphamide","N,N-bis(2-chloroethyl)-N'-(3-h ydroxypropyl)phosphorodiamidic acid intramol. ester"
"7851","Cyclophosphamide","N,N-bis(2-chloroethyl)-N'-(3-hydroxypropyl)phosphorodiamidic acid intramol. ester"
"7852","Cyclophosphamide","N,N-Bis(2-Chloroethyl)tetrahydro-2H-1,3,2-Oxazaphosphorin-2-Amine, 2-Oxide"
"7853","Cyclophosphamide","Phosphorodiamidic acid,N-bis(2-chloroethyl)-N'-(3-hydroxypropyl)-, intramol. ester"
"7854","Cyclophosphamide","te trahydro-N,N-bis(2-chloroethyl)-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide"
"7855","Cyclophosphamide","tetrahydro-N,N-bis(2-chloroethyl)-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide"
"7856","Cyclophosphamide","InChI=1/C7H15Cl2N2O2P/c8-2-5-11(6-3-9)14(12)10-4-1-7-13-14/h1-7H2,(H,10,12)"
"7857","Omeprazole","omeprazole"
"7858","Omeprazole","73590-58-6"
"7859","Omeprazole","Losec"
"7860","Omeprazole","Prilosec"
"7861","Omeprazole","Antra"
"7862","Omeprazole","Esomeprazole"
"7863","Omeprazole","Omeprazon"
"7864","Omeprazole","Audazol"
"7865","Omeprazole","Omapren"
"7866","Omeprazole","Omepral"
"7867","Omeprazole","Parizac"
"7868","Omeprazole","Zegerid"
"7869","Omeprazole","Mopral"
"7870","Omeprazole","Miol"
"7871","Omeprazole","Belmazol"
"7872","Omeprazole","Ceprandal"
"7873","Omeprazole","Dizprazol"
"7874","Omeprazole","Dudencer"
"7875","Omeprazole","Emeproton"
"7876","Omeprazole","Epirazole"
"7877","Omeprazole","Gastrimut"
"7878","Omeprazole","Gastroloc"
"7879","Omeprazole","Gibancer"
"7880","Omeprazole","Indurgan"
"7881","Omeprazole","Inhibitron"
"7882","Omeprazole","Inhipump"
"7883","Omeprazole","Logastric"
"7884","Omeprazole","Pepticum"
"7885","Omeprazole","Peptilcer"
"7886","Omeprazole","Prazidec"
"7887","Omeprazole","Sanamidol"
"7888","Omeprazole","Secrepina"
"7889","Omeprazole","Ulcometion"
"7890","Omeprazole","Mepral"
"7891","Omeprazole","Miracid"
"7892","Omeprazole","Omeprol"
"7893","Omeprazole","Omezol"
"7894","Omeprazole","Omisec"
"7895","Omeprazole","Omizac"
"7896","Omeprazole","Ompanyt"
"7897","Omeprazole","Ozoken"
"7898","Omeprazole","Prysma"
"7899","Omeprazole","Ramezol"
"7900","Omeprazole","Ulceral"
"7901","Omeprazole","Ulcesep"
"7902","Omeprazole","Ulcozol"
"7903","Omeprazole","Zefxon"
"7904","Omeprazole","Zoltum"
"7905","Omeprazole","Desec"
"7906","Omeprazole","Elgam"
"7907","Omeprazole","Lomac"
"7908","Omeprazole","Ulsen"
"7909","Omeprazole","Ultop"
"7910","Omeprazole","Zimor"
"7911","Omeprazole","Ocid"
"7912","Omeprazole","Omed"
"7913","Omeprazole","Omid"
"7914","Omeprazole","OMEP"
"7915","Omeprazole","Demeprazol"
"7916","Omeprazole","Nopramin"
"7917","Omeprazole","Omezolan"
"7918","Omeprazole","Paprazol"
"7919","Omeprazole","Pepticus"
"7920","Omeprazole","Prazentol"
"7921","Omeprazole","Prazolit"
"7922","Omeprazole","Procelac"
"7923","Omeprazole","Regulacid"
"7924","Omeprazole","Danlox"
"7925","Omeprazole","Erbolin"
"7926","Omeprazole","Lensor"
"7927","Omeprazole","Morecon"
"7928","Omeprazole","Nilsec"
"7929","Omeprazole","Olexin"
"7930","Omeprazole","Omegast"
"7931","Omeprazole","Omesek"
"7932","Omeprazole","Ortanol"
"7933","Omeprazole","Osiren"
"7934","Omeprazole","Proclor"
"7935","Omeprazole","Result"
"7936","Omeprazole","Ulcsep"
"7937","Omeprazole","Victrix"
"7938","Omeprazole","Zepral"
"7939","Omeprazole","Exter"
"7940","Omeprazole","Gasec"
"7941","Omeprazole","Ulzol"
"7942","Omeprazole","Omebeta 20"
"7943","Omeprazole","Tedec Ulceral"
"7944","Omeprazole","AULCER"
"7945","Omeprazole","Antra MUPS"
"7946","Omeprazole","Omerprazole"
"7947","Omeprazole","Omeprazol"
"7948","Omeprazole","Omez"
"7949","Omeprazole","Prilosec OTC"
"7950","Omeprazole","Omepradex"
"7951","Omeprazole","Omeprazolum"
"7952","Omeprazole","Nexium IV"
"7953","Omeprazole","H 168/68"
"7954","Omeprazole","Omeprazol [INN-Spanish]"
"7955","Omeprazole","Omeprazolum [INN-Latin]"
"7956","Omeprazole","Gastrogard"
"7957","Omeprazole","Nuclosina"
"7958","Omeprazole","( -)-Omeprazole"
"7959","Omeprazole","Omesec"
"7960","Omeprazole","119141-88-7"
"7961","Omeprazole","Esomperazole"
"7962","Omeprazole","Prestwick_808"
"7963","Omeprazole","CCRIS 7099"
"7964","Omeprazole","OMZ"
"7965","Omeprazole","CHEBI:77260"
"7966","Omeprazole","HSDB 3575"
"7967","Omeprazole","Esomeprazole sodium salt"
"7968","Omeprazole","5-Methoxy-2-(((4-methoxy-3,5-dimethyl-2-pyridyl)methyl)sulfinyl)benzimidazole"
"7969","Omeprazole","MFCD00083192"
"7970","Omeprazole","Nexium"
"7971","Omeprazole","H-168/68"
"7972","Omeprazole","CHEMBL1503"
"7973","Omeprazole","Nexiam"
"7974","Omeprazole","r-omeprazole"
"7975","Omeprazole","1H-Benzimidazole, 5-methoxy-2-(((4-methoxy-3,5-dimethyl-2-pyridinyl)methyl)sulfinyl)-"
"7976","Omeprazole","5-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole"
"7977","Omeprazole","5-Methoxy-2-[[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]sulfinyl]-1H-benzimidazole"
"7978","Omeprazole","5-methoxy-2-{[(4-methoxy-3,5-dimethylpyridin-2-yl)methyl]sulfinyl}-1H-benzimidazole"
"7979","Omeprazole","MLS000069373"
"7980","Omeprazole","C17H19N3O3S"
"7981","Omeprazole","SUBDBMMJDZJVOS-UHFFFAOYSA-N"
"7982","Omeprazole","(S)-Esomeprazole"
"7983","Omeprazole","Aisi'aomeilazuona Esomeprazole Sodium"
"7984","Omeprazole","2-(((3,5-Dimethyl-4-methoxy-2-pyridyl)methyl)sulfinyl)-5-methoxy-1H-benzimidazole"
"7985","Omeprazole","6-methoxy-2-(((4-methoxy-3,5-dimethylpyridin-2-yl)methyl)sulfinyl)-1H-benzo[d]imidazole"
"7986","Omeprazole","Omeprazole, 98+%"
"7987","Omeprazole","NCGC00016925-06"
"7988","Omeprazole","SMR000058847"
"7989","Omeprazole","Emilok"
"7990","Omeprazole","CAS-73590-58-6"
"7991","Omeprazole","DSSTox_CID_1080"
"7992","Omeprazole","(s)-omeprazole sodium"
"7993","Omeprazole","2-({[3,5-dimethyl-4-(methyloxy)pyridin-2-yl]methyl}sulfinyl)-5-(methyloxy)-1H-benzimidazole"
"7994","Omeprazole","DSSTox_RID_75929"
"7995","Omeprazole","DSSTox_GSID_21080"
"7996","Omeprazole","Omeprazone"
"7997","Omeprazole","Omeprazen"
"7998","Omeprazole","Omeprazole delayed-release"
"7999","Omeprazole","Omeprazole Pellets"
"8000","Omeprazole","5-methoxy-2-((4-methoxy-3,5-dimethylpyridin-2-yl)methylsulfinyl)-1H-benzo[d]imidazole"
"8001","Omeprazole","5-methoxy-2-[(4-methoxy-3,5-dimethyl-2-pyridyl)methylsulfinyl]-1H-benzimidazole"
"8002","Omeprazole","5-Methoxy-2-[[(4-methoxy-3,5-dimethyl-2-pyridyl)methyl]sulfinyl]benzimidazole"
"8003","Omeprazole","Prilosec (TN)"
"8004","Omeprazole","(+-)-Omeprazole"
"8005","Omeprazole","Omeprazole [USAN:INN:BAN:JAN]"
"8006","Omeprazole","SR-01000003003"
"8007","Omeprazole","161796-78-7"
"8008","Omeprazole","Omperazole"
"8009","Omeprazole","Omeprazole, solid"
"8010","Omeprazole","5-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methylsulfinyl]-1H-benzimidazole"
"8011","Omeprazole","AGI-010"
"8012","Omeprazole","Omeprazole,(S)"
"8013","Omeprazole","H 168-68"
"8014","Omeprazole","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methylsulfinyl]-1H-benzimidazole"
"8015","Omeprazole","DM-3458"
"8016","Omeprazole","Omeprazole [USAN:USP:INN:BAN:JAN]"
"8017","Omeprazole","Omeprazole (Prilosec)"
"8018","Omeprazole","ACMC-20p1du"
"8019","Omeprazole","Maybridge4_002645"
"8020","Omeprazole","Opera_ID_1863"
"8021","Omeprazole","Prestwick0_000493"
"8022","Omeprazole","Prestwick1_000493"
"8023","Omeprazole","Prestwick2_000493"
"8024","Omeprazole","Prestwick3_000493"
"8025","Omeprazole","(.+/-.)-Omeprazole"
"8026","Omeprazole","O0359"
"8027","Omeprazole","UPCMLD-DP075"
"8028","Omeprazole","5-Methoxy-2[(4-methoxy-3,5-dimethyl-2-pyridyl)methylsulfinyl]-1H-benzimidazole"
"8029","Omeprazole","cid_4594"
"8030","Omeprazole","SCHEMBL1191"
"8031","Omeprazole","BSPBio_000385"
"8032","Omeprazole","MLS001076112"
"8033","Omeprazole","MLS001424148"
"8034","Omeprazole","MLS006010400"
"8035","Omeprazole","MLS006011759"
"8036","Omeprazole","BIDD:GT0189"
"8037","Omeprazole","SPBio_002306"
"8038","Omeprazole","BPBio1_000425"
"8039","Omeprazole","GTPL4279"
"8040","Omeprazole","Omeprazole (JP17/USP/INN)"
"8041","Omeprazole","Esomeprazole sodium salt hydrate"
"8042","Omeprazole","DTXSID6021080"
"8043","Omeprazole","SCHEMBL11995456"
"8044","Omeprazole","UPCMLD-DP075:001"
"8045","Omeprazole","CHEBI:91766"
"8046","Omeprazole","CTK8I2124"
"8047","Omeprazole","CTK9A5793"
"8048","Omeprazole","HMS1528I05"
"8049","Omeprazole","HMS1569D07"
"8050","Omeprazole","HMS2052G17"
"8051","Omeprazole","HMS2090E16"
"8052","Omeprazole","HMS2090F11"
"8053","Omeprazole","HMS2096D07"
"8054","Omeprazole","HMS2232B21"
"8055","Omeprazole","HMS3269D17"
"8056","Omeprazole","HMS3394G17"
"8057","Omeprazole","HMS3413J07"
"8058","Omeprazole","HMS3651A11"
"8059","Omeprazole","HMS3677J07"
"8060","Omeprazole","HMS3713D07"
"8061","Omeprazole","Pharmakon1600-01505693"
"8062","Omeprazole","(S)-Omeprazole sodium salt hydrate"
"8063","Omeprazole","BCP05852"
"8064","Omeprazole","BCP13592"
"8065","Omeprazole","BCP21299"
"8066","Omeprazole","HY-B0113"
"8067","Omeprazole","KS-000001KH"
"8068","Omeprazole","2,3,5-Trimethylpyridine/Omeprazole"
"8069","Omeprazole","Tox21_110686"
"8070","Omeprazole","Tox21_200509"
"8071","Omeprazole","AC-401"
"8072","Omeprazole","BBL028172"
"8073","Omeprazole","BDBM50103597"
"8074","Omeprazole","BDBM50241343"
"8075","Omeprazole","CO0037"
"8076","Omeprazole","DL-462"
"8077","Omeprazole","NSC751450"
"8078","Omeprazole","NSC759192"
"8079","Omeprazole","s1389"
"8080","Omeprazole","STK623746"
"8081","Omeprazole","119141-88-7 (base)"
"8082","Omeprazole","AKOS005066653"
"8083","Omeprazole","AKOS015895343"
"8084","Omeprazole","Tox21_110686_1"
"8085","Omeprazole","AC-4676"
"8086","Omeprazole","CCG-101130"
"8087","Omeprazole","CCG-213517"
"8088","Omeprazole","CS-1868"
"8089","Omeprazole","DB00338"
"8090","Omeprazole","HS-0055"
"8091","Omeprazole","LS-7629"
"8092","Omeprazole","MCULE-3224208952"
"8093","Omeprazole","NC00380"
"8094","Omeprazole","NE55490"
"8095","Omeprazole","NSC-751450"
"8096","Omeprazole","NSC-759192"
"8097","Omeprazole","IDI1_032523"
"8098","Omeprazole","NCGC00016925-01"
"8099","Omeprazole","NCGC00016925-02"
"8100","Omeprazole","NCGC00016925-03"
"8101","Omeprazole","NCGC00016925-04"
"8102","Omeprazole","NCGC00016925-05"
"8103","Omeprazole","NCGC00016925-07"
"8104","Omeprazole","NCGC00016925-08"
"8105","Omeprazole","NCGC00016925-10"
"8106","Omeprazole","NCGC00016925-11"
"8107","Omeprazole","NCGC00021522-03"
"8108","Omeprazole","NCGC00021522-04"
"8109","Omeprazole","NCGC00021522-05"
"8110","Omeprazole","NCGC00258063-01"
"8111","Omeprazole","Omeprazole, analytical reference material"
"8112","Omeprazole","AK162396"
"8113","Omeprazole","CPD000058847"
"8114","Omeprazole","K253"
"8115","Omeprazole","SAM001246900"
"8116","Omeprazole","SC-15162"
"8117","Omeprazole","SY077145"
"8118","Omeprazole","SBI-0206896.P001"
"8119","Omeprazole","AB0014122"
"8120","Omeprazole","AB1009257"
"8121","Omeprazole","FT-0601585"
"8122","Omeprazole","FT-0652860"
"8123","Omeprazole","FT-0653294"
"8124","Omeprazole","H 199"
"8125","Omeprazole","ST24048844"
"8126","Omeprazole","SW196942-4"
"8127","Omeprazole","A19447"
"8128","Omeprazole","C07324"
"8129","Omeprazole","D00455"
"8130","Omeprazole","J10125"
"8131","Omeprazole","668985-31-7 (Mg)"
"8132","Omeprazole","141O887"
"8133","Omeprazole","A837865"
"8134","Omeprazole","H168/68"
"8135","Omeprazole","Q422210"
"8136","Omeprazole","SR-01000003003-4"
"8137","Omeprazole","SR-01000003003-7"
"8138","Omeprazole","SR-01000003003-8"
"8139","Omeprazole","5-methoxy-2-((4-methoxy-3,5-dimethylpyridin-2-yl)"
"8140","Omeprazole","BRD-A55962179-001-04-9"
"8141","Omeprazole","BRD-A55962179-001-08-0"
"8142","Omeprazole","BRD-A55962179-001-20-5"
"8143","Omeprazole","BRD-A88691025-001-07-4"
"8144","Omeprazole","F0001-2386"
"8145","Omeprazole","Z1672902589"
"8146","Omeprazole","Omeprazole, British Pharmacopoeia (BP) Reference Standard"
"8147","Omeprazole","Omeprazole, European Pharmacopoeia (EP) Reference Standard"
"8148","Omeprazole","Omeprazole, United States Pharmacopeia (USP) Reference Standard"
"8149","Omeprazole","2-(3-methoxy-2,4-dimethylbenzylsulfinyl)-6-methoxy-1H-benzo[d]imidazole"
"8150","Omeprazole","5-Methoxy-2-((S)-((4-methoxy-3,5-dimethyl-2- pyridinyl)methyl)sulfinyl)-"
"8151","Omeprazole","Omeprazole, Pharmaceutical Secondary Standard; Certified Reference Material"
"8152","Omeprazole","(+)-5-methoxy-2-[[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]-sulfinyl]-1h-benzimidazole"
"8153","Omeprazole","(-)-5-methoxy-2-[[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]-sulfinyl]-1h-benzimidazole"
"8154","Omeprazole","(RS)-5-Methoxy-2-(4-methoxy-3,5-dimethyl-2-pyridylmethylsulphinyl)benzimidazole"
"8155","Omeprazole","1H-Benzimidazole,5-methoxy-2-[(R)-[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]sulfinyl]-"
"8156","Omeprazole","5-methoxy 2-[[(4-methoxy-3,5-dimethyl-2-pyrdinyl)-methyl]sulfinyl]-1H-benzimidazole"
"8157","Omeprazole","5-methoxy 2-[[(4-methoxy-3,5-dimethyl-2-pyridinyl)-methyl]sulfinyl]-1 H-benzimidazole"
"8158","Omeprazole","5-methoxy 2-[[(4-methoxy-3,5-dimethyl-2-pyridinyl)-methyl]sulfinyl]-1H-benzimidazole"
"8159","Omeprazole","5-methoxy-2-(((4-methoxy-3,5-dimethylpyridin-2-yl)methyl)sulfinyl)-1H-benzo[d]imidazole"
"8160","Omeprazole","5-methoxy-2-(2-(4-methoxy-3,5-dimethylpyridin-2-yl)ethylsulfinyl)-1H-benzo[d]imidazole"
"8161","Omeprazole","5-Methoxy-2-(4-methoxy-3,5-dimethyl-pyridin-2-ylmethanesulfinyl)-1H-benzoimidazole"
"8162","Omeprazole","5-methoxy-2-[(4-methoxy-3,5-dimethyl-2-pyridyl)methyl]sulfinyl- 1H-benzimidazole"
"8163","Omeprazole","5-methoxy-2-[(4-methoxy-3,5-dimethyl-pyridin-2-yl)methylsulfinyl]-3H-benzoimidazole"
"8164","Omeprazole","5-Methoxy-2-[(RS)-[(4-methoxy-3,5-dimethylpyridin-2-yl)methyl]sulfinyl]-1H-benzimidazole"
"8165","Omeprazole","5-methoxy-2-[[(3,5-dimethyl-4-methoxy-2-pyridyl)methyl]sulfinyl]-1H-benzimidazole"
"8166","Omeprazole","5-methoxy-2-[[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]sulphinyl]-1H-benzimidazole"
"8167","Omeprazole","5-methoxy-2-[[(4-methoxy-3,5-dimethyl-2-pyridyl)methyl]sulfinyl]-benzimidazole"
"8168","Omeprazole","5-methoxy-2-[[(4-methoxy-3,5-dimethylpyridin-2-yl)methyl]sulphinyl]1H-benzimidazole"
