,unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,GDSC_rnaseq.cellid,CCLE_exome.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,NCI60.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Cescon.cellid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid,Cleveland.cellid,Cleveland.tissueid,FIMM.cellid,FIMM.tissueid,Cellosaurus.Accession.id,PharmacoDB.id,GDSC_Exome.cellid,unique.tissueid.fromstudies,Cellosaurus.Disease.Type,CellLine.Type,Metastatic,DepMap.cellid
421,MHH-CALL-4,MHH-CALL-4,MHH-CALL-4,NA,NA,NA,NA,NA,MHH-CALL-4,NA,MHH-CALL-4,MHH-CALL-4,MHH-CALL-4,NA,MHHCALL4,NA,MHH-CALL-4,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1410,MHHCALL4_927_2019,MHH-CALL-4,haematopoietic_and_lymphoid_tissue,Childhood B acute lymphoblastic leukemia,Cancer cell line,NA,ACH-000156
422,MHH-ES-1,MHH-ES-1,MHH-ES-1,NA,NA,NA,MHH-ES-1,NA,NA,NA,MHH-ES-1,MHH-ES-1,MHH-ES-1,NA,MHHES1,MHH-ES-1,MHH-ES-1,bone,bone,NA,NA,NA,Bone,NA,NA,bone,bone,NA,NA,bone,Bone,bone,Bone,bone,MHHES1,bone,NA,NA,CVCL_1411,MHHES1_928_2019,MHH-ES-1,bone,Ewing sarcoma,Cancer cell line,TRUE,ACH-000391
423,MHH-NB-11,MHH-NB-11,MHH-NB-11,NA,NA,NA,MHH-NB-11,NA,MHH-NB-11,NA,MHH-NB-11,MHH-NB-11,MHH-NB-11,NA,MHHNB11,MHH-NB-11,MHH-NB-11,autonomic_ganglia,autonomic_ganglia,NA,NA,NA,Brain,NA,autonomic_ganglia,autonomic_ganglia,nervous_system,NA,NA,autonomic_ganglia,Peripheral Nervous System,autonomic_ganglia,NA,autonomic_ganglia,MHHNB11,autonomic_ganglia,NA,NA,CVCL_1412,MHHNB11_929_2019,MHH-NB-11,autonomic_ganglia,Neuroblastoma,Cancer cell line,TRUE,ACH-000078
424,MHH-PREB-1,MHH-PREB-1,NA,MHHPREB1,NA,NA,MHH-PREB-1,NA,MHH-PREB-1,MHH-PREB-1,NA,NA,MHH-PREB-1,NA,NA,MHH-PREB-1,MHH-PREB-1,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,NA,Lymph Node,NA,Blood,NA,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1413,MHHPREB1_930_2019,MHH-PREB-1,haematopoietic_and_lymphoid_tissue,B-cell non-Hodgkin lymphoma,Cancer cell line,NA,ACH-002272
425,MIA PaCa-2,MIA-PaCa-2,MIA PaCa-2,MIAPACA2,NA,NA,MIA Paca-2,NA,MIA-PaCa-2,NA,MIA_PaCa-2,MIA_PaCa-2,MIA-PaCa-2,NA,MIAPACA2,MIA Paca-2,MIA-PaCa-2,pancreas,pancreas,pancreas,NA,NA,Pancreas,NA,Pancreas,pancreas,pancreas,NA,NA,pancreas,Pancreas,pancreas,Pancreas,pancreas,MIAPaCa2,pancreas,NA,NA,CVCL_0428,MIAPaCa2_931_2019,MIA-PaCa-2,pancreas,Pancreatic ductal adenocarcinoma,Cancer cell line,NA,ACH-000601
426,MJ,MJ,MJ,MJ,NA,NA,NA,NA,NA,NA,MJ,MJ,NA,NA,MJ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,CVCL_1414,MJ_933_2019,NA,haematopoietic_and_lymphoid_tissue,Cutaneous T-cell non-Hodgkin lymphoma,Cancer cell line,NA,ACH-000077
427,MKN1,MKN1,MKN1,NA,NA,NA,MKN-1,NA,MKN1,NA,MKN1,MKN1,MKN1,NA,MKN1,MKN-1,MKN1,stomach,stomach,NA,NA,NA,Stomach,NA,Stomach,stomach,digestive_system,NA,NA,stomach,Esophagus/Stomach,stomach,Stomach,stomach,NA,NA,NA,NA,CVCL_1415,MKN1_936_2019,MKN1,stomach,Gastric adenosquamous carcinoma,Cancer cell line,TRUE,ACH-000351
428,MKN28,MKN28,NA,NA,NA,NA,NA,NA,MKN28,MKN28,NA,NA,MKN28,NA,NA,NA,MKN28,stomach,NA,NA,NA,NA,NA,NA,Stomach,NA,digestive_system,NA,NA,stomach,Esophagus/Stomach,NA,NA,stomach,NA,NA,NA,NA,CVCL_1416,MKN28_937_2019,MKN28,stomach,Gastric tubular adenocarcinoma,Cancer cell line,TRUE,ACH-002161
429,MKN45,MKN45,MKN-45,NA,NA,NA,MKN-45,NA,MKN45,NA,MKN-45,MKN-45,MKN45,NA,MKN45,MKN-45,MKN45,stomach,stomach,NA,NA,NA,Stomach,NA,Stomach,stomach,digestive_system,NA,NA,stomach,Esophagus/Stomach,stomach,Stomach,stomach,MKN45,stomach,NA,NA,CVCL_0434,MKN45_938_2019,MKN45,stomach,Gastric adenocarcinoma,Cancer cell line,TRUE,ACH-000356
430,MKN7,MKN7,MKN7,NA,NA,NA,MKN-7,MKN7,MKN7,NA,MKN7,MKN7,MKN7,NA,MKN7,MKN-7,MKN7,stomach,stomach,NA,NA,NA,Stomach,STOMACH,Stomach,stomach,digestive_system,NA,NA,stomach,Esophagus/Stomach,stomach,NA,stomach,MKN7,stomach,NA,NA,CVCL_1417,MKN7_939_2019,MKN7,stomach,Gastric tubular adenocarcinoma,Cancer cell line,TRUE,ACH-000678
431,ML-2,ML-2,NA,ML2,NA,NA,ML-2,NA,ML-2,ML-2,NA,NA,ML-2,NA,NA,ML-2,ML-2,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,NA,Bone Marrow,NA,Blood,NA,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Myeloid,NA,Bone Marrow,haematopoietic_and_lymphoid_tissue,NA,NA,ML2,blood,CVCL_1418,ML2_942_2019,ML-2,haematopoietic_and_lymphoid_tissue,Adult acute myeloid leukemia,Cancer cell line,NA,ACH-002273
432,MLMA,MLMA,NA,NA,NA,NA,NA,NA,MLMA,MLMA,NA,NA,MLMA,NA,NA,NA,MLMA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1419,MLMA_943_2019,MLMA,haematopoietic_and_lymphoid_tissue,Hairy cell leukemia,Cancer cell line,NA,ACH-002274
433,MMAc-SF,MMAC-SF,NA,NA,NA,NA,NA,NA,MMAC-SF,MMAC-SF,NA,NA,MMAC-SF///MMAc-SF,NA,NA,NA,MMAC-SF,skin,NA,NA,NA,NA,NA,NA,Skin,NA,skin,NA,NA,skin,Skin,NA,NA,skin,NA,NA,NA,NA,CVCL_1420,MMACSF_945_2019,MMAC-SF,skin,Melanoma,Cancer cell line,NA,ACH-002162
434,MN-60,MN-60,NA,NA,NA,NA,NA,NA,MN-60,MN-60,NA,NA,MN-60,NA,NA,NA,MN-60,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1421,MN60_946_2019,MN-60,haematopoietic_and_lymphoid_tissue,Burkitt lymphoma,Cancer cell line,NA,ACH-002275
435,MOG-G-CCM,MOG-G-CCM,MOG-G-CCM,NA,NA,NA,NA,NA,MOG-G-CCM,MOG-G-CCM,NA,NA,MOG-G-CCM,NA,NA,NA,MOG-G-CCM,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,central_nervous_system,CNS/Brain,NA,NA,central_nervous_system,NA,NA,NA,NA,CVCL_2613,MOGGCCM_948_2019,MOG-G-CCM,central_nervous_system,Anaplastic astrocytoma,Cancer cell line,NA,ACH-001125
436,MOG-G-UVW,MOG-G-UVW,MOG-G-UVW,NA,NA,NA,NA,NA,MOG-G-UVW,MOG-G-UVW,NA,NA,MOG-G-UVW,NA,NA,NA,MOG-G-UVW,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,central_nervous_system,CNS/Brain,NA,NA,central_nervous_system,NA,NA,NA,NA,CVCL_2614,MOGGUVW_949_2019,MOG-G-UVW,central_nervous_system,Anaplastic astrocytoma,Cancer cell line,NA,ACH-001126
437,MOLT-13,MOLT-13,MOLT-13,NA,NA,NA,NA,NA,MOLT-13,NA,MOLT-13,MOLT-13,MOLT-13,NA,MOLT13,NA,MOLT-13,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1422,MOLT13_955_2019,MOLT-13,haematopoietic_and_lymphoid_tissue,Childhood T acute lymphoblastic leukemia,Cancer cell line,NA,ACH-000795
438,MOLT-16,MOLT-16,MOLT-16,MOLT16,NA,NA,NA,NA,MOLT-16,NA,MOLT-16,MOLT-16,MOLT-16,NA,MOLT16,NA,MOLT-16,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1424,MOLT16_956_2019,MOLT-16,haematopoietic_and_lymphoid_tissue,Childhood T acute lymphoblastic leukemia,Cancer cell line,NA,ACH-000918
439,MOLT-4,MOLT-4,MOLT-4,MOLT4,LE:MOLT_4,NA,NA,NA,MOLT-4,MOLT-4,NA,NA,MOLT-4,NA,NA,NA,MOLT-4,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,LE,NA,NA,NA,Blood,NA,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_0013,MOLT4_958_2019,MOLT-4,haematopoietic_and_lymphoid_tissue,Adult T acute lymphoblastic leukemia,Cancer cell line,NA,ACH-001127
440,Mono-Mac-6,MONO-MAC-6,MONO-MAC-6,NA,NA,NA,NA,NA,MONO-MAC-6,NA,MONO-MAC-6,MONO-MAC-6,MONO-MAC-6,NA,MONOMAC6,NA,MONO-MAC-6,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Myeloid,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA,MONOMAC6,blood,CVCL_1426,MONOMAC6_960_2019,MONO-MAC-6,haematopoietic_and_lymphoid_tissue,Adult acute monocytic leukemia,Cancer cell line,NA,ACH-000006
441,Mo,Mo-T,NA,NA,NA,NA,NA,NA,Mo-T///Mo,Mo-T,NA,NA,Mo-T,NA,NA,NA,Mo-T,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,Blood,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1439,MoT_947_2019,Mo-T,haematopoietic_and_lymphoid_tissue,Hairy cell leukemia,Cancer cell line,NA,ACH-002339
442,MPP 89,MPP-89,MPP 89,NA,NA,NA,NA,NA,MPP-89,NA,MPP_89,MPP_89,MPP-89,NA,MPP89,NA,MPP-89,pleura,pleura,NA,NA,NA,NA,NA,Lung,pleura,lung,NA,NA,pleura,Pleura,pleura,NA,pleura,MPP89,pleura,NA,NA,CVCL_1427,MPP89_964_2019,MPP-89,pleura,Pleural epithelioid mesothelioma,Cancer cell line,NA,ACH-000319
443,MRK-nu-1,MRK-nu-1,NA,NA,NA,NA,NA,NA,MRK-nu-1,MRK-nu-1,NA,NA,MRK-nu-1,NA,NA,NA,MRK-nu-1,breast,NA,NA,NA,NA,NA,NA,Breast,NA,breast,NA,NA,breast,Breast,NA,NA,breast,NA,NA,NA,NA,CVCL_1428,MRKnu1_965_2019,MRK-nu-1,breast,Breast carcinoma,Cancer cell line,TRUE,ACH-002163
444,MS-1 [Human lung carcinoma],MS-1,NA,NA,NA,NA,NA,NA,MS-1,MS-1,NA,NA,MS-1,NA,NA,NA,MS-1,lung,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,lung,Lung,NA,NA,lung,NA,NA,NA,NA,CVCL_1429,MS1_966_2019,MS-1,lung,Small cell lung carcinoma,Cancer cell line,TRUE,ACH-001958
445,MSTO-211H,MSTO-211H,MSTO-211H,NA,NA,NA,NA,MSTO211H,MSTO-211H,NA,MSTO-211H,MSTO-211H,MSTO-211H,NA,MSTO211H,NA,MSTO-211H,pleura,pleura,NA,NA,NA,NA,PLEURA,pleura,pleura,lung,NA,NA,pleura,Pleura,pleura,NA,pleura,NA,NA,NA,NA,CVCL_1430,MSTO211H_968_2019,MSTO-211H,pleura,Pleural biphasic mesothelioma,Cancer cell line,NA,ACH-000335
446,MUTZ-1,MUTZ-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Epstein-Barr virus-related Burkitt lymphoma,NA,NA,NA
447,MV4-11,MV-4-11,MV-4-11,MV411,NA,NA,MV-4-11,NA,MV-4-11,NA,MV-4-11,MV-4-11,MV-4-11,NA,MV411,MV-4-11,MV-4-11,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,Blood,NA,Blood,haematopoietic_and_lymphoid_tissue,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Myeloid,haematopoietic_and_lymphoid_tissue,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,MV411,blood,CVCL_0064,MV411_972_2019,MV-4-11,haematopoietic_and_lymphoid_tissue,Childhood acute monocytic leukemia,Cancer cell line,NA,ACH-000045
448,MZ-PC-1,MZ1-PC,NA,NA,NA,NA,NA,NA,MZ1-PC,MZ1-PC,NA,NA,MZ1-PC,NA,NA,NA,MZ1-PC,pancreas,NA,NA,NA,NA,NA,NA,Pancreas,NA,pancreas,NA,NA,pancreas,Pancreas,NA,NA,pancreas,NA,NA,NA,NA,CVCL_1434,MZ1PC_975_2019,MZ1-PC,pancreas,Pancreatic ductal adenocarcinoma,Cancer cell line,TRUE,ACH-002164
449,MZ-MEL-2,MZ2-MEL,NA,NA,NA,NA,NA,NA,MZ2-MEL,MZ2-MEL,NA,NA,MZ2-MEL,NA,NA,NA,MZ2-MEL,skin,NA,NA,NA,NA,NA,NA,Skin,NA,skin,NA,NA,skin,Skin,NA,NA,skin,NA,NA,NA,NA,CVCL_1435,MZ2MEL_976_2019,MZ2-MEL,skin,Melanoma,Cancer cell line,NA,ACH-002165
450,MZ-MEL-7,MZ7-mel,NA,NA,NA,NA,NA,NA,MZ7-mel,MZ7-mel,NA,NA,MZ7-mel,NA,NA,NA,MZ7-mel,skin,NA,NA,NA,NA,NA,NA,Skin,NA,skin,NA,NA,skin,Skin,NA,NA,skin,NA,NA,NA,NA,CVCL_1436,MZ7mel_977_2019,MZ7-mel,skin,Melanoma,Cancer cell line,TRUE,ACH-002166
451,NALM-1,NALM-1,NALM-1,NALM1,NA,NA,NA,NA,NA,NA,NALM-1,NALM-1,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Myeloid,NA,NA,NA,NA,NA,NA,NA,CVCL_0091,NALM1_978_2019,NA,haematopoietic_and_lymphoid_tissue,"Childhood chronic myelogenous leukemia, BCR-ABL1 positive",Cancer cell line,NA,ACH-000462
452,NALM-6,NALM-6,NALM-6,NALM6,NA,NA,NALM-6,NA,NALM-6,NA,NALM-6,NALM-6,NALM-6,NA,NALM6,NALM-6,NALM-6,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,Blood,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_0092,NALM6_980_2019,NALM-6,haematopoietic_and_lymphoid_tissue,Adult B acute lymphoblastic leukemia,Cancer cell line,NA,ACH-000938
453,NB1,NB1,NB-1,NA,NA,NA,NA,NA,NB1,NA,NB-1,NB-1,NB1,NA,NB1,NB-1,NB1,autonomic_ganglia,autonomic_ganglia,NA,NA,NA,NA,NA,autonomic_ganglia,autonomic_ganglia,nervous_system,NA,NA,autonomic_ganglia,Peripheral Nervous System,autonomic_ganglia,Brain,autonomic_ganglia,NB1,autonomic_ganglia,NA,NA,CVCL_1440,NB1_984_2019,NB1,autonomic_ganglia,Neuroblastoma,Cancer cell line,TRUE,ACH-000804
454,SJNB-10,NB10,NA,NA,NA,NA,NA,NA,NB10,NB10,NA,NA,NB10,NA,NA,NA,NB10,autonomic_ganglia,NA,NA,NA,NA,NA,NA,PNS,NA,nervous_system,NA,NA,autonomic_ganglia,Peripheral Nervous System,NA,NA,autonomic_ganglia,NA,NA,NA,NA,CVCL_1441,NB10_985_2019,NB10,autonomic_ganglia,Neuroblastoma,Cancer cell line,NA,ACH-002278
455,SJNB-12,NB12,NA,NA,NA,NA,NA,NA,NB12,NB12,NA,NA,NB12,NA,NA,NA,NB12,autonomic_ganglia,NA,NA,NA,NA,NA,NA,PNS,NA,nervous_system,NA,NA,autonomic_ganglia,Peripheral Nervous System,NA,NA,autonomic_ganglia,NA,NA,NA,NA,CVCL_1442,NB12_986_2019,NB12,autonomic_ganglia,Neuroblastoma,Cancer cell line,TRUE,ACH-002279
456,SJNB-13,NB13,NA,NA,NA,NA,NA,NA,NB13,NB13,NA,NA,NB13,NA,NA,NA,NB13,autonomic_ganglia,NA,NA,NA,NA,NA,NA,PNS,NA,nervous_system,NA,NA,autonomic_ganglia,Peripheral Nervous System,NA,NA,autonomic_ganglia,NA,NA,NA,NA,CVCL_1443,NB13_987_2019,NB13,autonomic_ganglia,Neuroblastoma,Cancer cell line,NA,ACH-002280
457,SJNB-14,NB14,NA,NA,NA,NA,NA,NA,NB14,NB14,NA,NA,NB14,NA,NA,NA,NB14,autonomic_ganglia,NA,NA,NA,NA,NA,NA,PNS,NA,nervous_system,NA,NA,autonomic_ganglia,Peripheral Nervous System,NA,NA,autonomic_ganglia,NA,NA,NA,NA,CVCL_1444,NB14_988_2019,NB14,autonomic_ganglia,Neuroblastoma,Cancer cell line,NA,ACH-002281
458,NB16,NB16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,autonomic_ganglia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,autonomic_ganglia,Peripheral Nervous System,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,autonomic_ganglia,Neuroblastoma,NA,NA,NA
459,SJNB-17,NB17,NA,NA,NA,NA,NA,NA,NB17,NB17,NA,NA,NB17,NA,NA,NA,NB17,autonomic_ganglia,NA,NA,NA,NA,NA,NA,PNS,NA,nervous_system,NA,NA,autonomic_ganglia,Peripheral Nervous System,NA,NA,autonomic_ganglia,NA,NA,NA,NA,CVCL_1445,NB17_989_2019,NB17,autonomic_ganglia,Neuroblastoma,Cancer cell line,NA,ACH-002282
460,Kelly,NB19,KELLY,NA,NA,NA,KELLY,NA,KELLY,NA,KELLY,KELLY,KELLY,NA,KELLY,KELLY,KELLY,autonomic_ganglia,autonomic_ganglia,NA,NA,NA,Brain,NA,CNS,autonomic_ganglia,NA,NA,NA,autonomic_ganglia,Peripheral Nervous System,autonomic_ganglia,Brain,autonomic_ganglia,NA,NA,NA,NA,CVCL_2092,KELLY_743_2019,KELLY,autonomic_ganglia,Neuroblastoma,Cancer cell line,NA,ACH-000259
461,NB4,NB4,NB-4,NA,NA,NA,NA,NA,NB4,NA,NB-4,NB-4,NB-4///NB4,NA,NB4,NB-4,NB-4,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Myeloid,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_0005,NB4_990_2019,NB-4,haematopoietic_and_lymphoid_tissue,Acute promyelocytic leukemia with t(15,Cancer cell line,NA,ACH-000294
462,SJNB-5,NB5,NA,NA,NA,NA,NA,NA,NB5,NB5,NA,NA,NB5,NA,NA,NA,NB5,autonomic_ganglia,NA,NA,NA,NA,NA,NA,PNS,NA,nervous_system,NA,NA,autonomic_ganglia,Peripheral Nervous System,NA,NA,autonomic_ganglia,NA,NA,NA,NA,CVCL_8822,NB5_991_2019,NB5,autonomic_ganglia,Neuroblastoma,Cancer cell line,TRUE,ACH-002283
463,SJNB-6,NB6,NA,NA,NA,NA,NA,NA,NB6,NB6,NA,NA,NB6,NA,NA,NA,NB6,autonomic_ganglia,NA,NA,NA,NA,NA,NA,autonomic_ganglia,NA,nervous_system,NA,NA,autonomic_ganglia,Peripheral Nervous System,NA,NA,autonomic_ganglia,NA,NA,NA,NA,CVCL_8823,NB6_992_2019,NB6,autonomic_ganglia,Neuroblastoma,Cancer cell line,NA,ACH-002284
464,NB69,NB69,NA,NA,NA,NA,NA,NA,NB69,NB69,NA,NA,NB69,NA,NA,NB69,NB69,autonomic_ganglia,NA,NA,NA,NA,NA,NA,Brain,NA,nervous_system,NA,NA,autonomic_ganglia,Peripheral Nervous System,NA,Brain,autonomic_ganglia,NA,NA,NA,NA,CVCL_1448,NB69_993_2019,NB69,autonomic_ganglia,Neuroblastoma,Cancer cell line,NA,ACH-002083
465,SJNB-7,NB7,NA,NA,NA,NA,NA,NA,NB7,NB7,NA,NA,NB7,NA,NA,NA,NB7,autonomic_ganglia,NA,NA,NA,NA,NA,NA,PNS,NA,nervous_system,NA,NA,autonomic_ganglia,Peripheral Nervous System,NA,NA,autonomic_ganglia,NA,NA,NA,NA,CVCL_8824,NB7_994_2019,NB7,autonomic_ganglia,Neuroblastoma,Cancer cell line,NA,ACH-002285
466,NBsusSR,NBsusSR,NA,NA,NA,NA,NA,NA,NBsusSR,NBsusSR,NA,NA,NBsusSR,NA,NA,NA,NA,autonomic_ganglia,NA,NA,NA,NA,NA,NA,PNS,NA,nervous_system,NA,NA,autonomic_ganglia,Peripheral Nervous System,NA,NA,autonomic_ganglia,NA,NA,NA,NA,CVCL_1450,NBsusSR_995_2019,NA,autonomic_ganglia,Neuroblastoma,Cancer cell line,NA,ACH-002340
467,NCC-IT-A3,NCCIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,testis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Testis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,testis,Testicular embryonal carcinoma,NA,NA,NA
468,NCI-ADR-RES,NCI-ADR-RES,NA,NCIADRRES,OV:NCI_ADR_RES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovary,NA,ovary,OV,NA,NA,NA,NA,NA,NA,NA,NA,ovary,Ovary/Fallopian Tube,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovary,High grade ovarian serous adenocarcinoma,NA,NA,NA
469,NCI-H1048,NCI-H1048,NCI-H1048,NCIH1048,NA,NA,NCI-H1048,NCIH1048,NCI-H1048,NA,NCI-H1048,NCI-H1048,NCI-H1048,NA,NA,NCI-H1048,NCI-H1048,lung,lung,lung,NA,NA,Lung,LUNG,Lung,lung,lung,NA,NA,lung,Lung,NA,NA,lung,NCIH1048,lung,NA,NA,CVCL_1453,NCIH1048_1000_2019,NCI-H1048,lung,Small cell lung carcinoma,Cancer cell line,TRUE,ACH-000866
470,NCI-H1092,NCI-H1092,NCI-H1092,NCIH1092,NA,NA,NCI-H1092,NA,NCI-H1092,NA,NCI-H1092,NCI-H1092,NCI-H1092,NA,NCIH1092,NCI-H1092,NCI-H1092,lung,lung,lung,NA,NA,Lung,NA,Lung,lung,lung,NA,NA,lung,Lung,lung,NA,lung,NA,NA,NA,NA,CVCL_1454,NCIH1092_1001_2019,NCI-H1092,lung,Small cell lung carcinoma,Cancer cell line,TRUE,ACH-000514
471,NCI-H1105,NCI-H1105,NCI-H1105,NA,NA,NA,NA,NCIH1105,NCI-H1105,NA,NCI-H1105,NCI-H1105,NCI-H1105,NA,NCIH1105,NA,NCI-H1105,lung,lung,NA,NA,NA,NA,LUNG,Lung,lung,NA,NA,NA,lung,Lung,lung,NA,lung,NA,NA,NA,NA,CVCL_1455,NCIH1105_1002_2019,NCI-H1105,lung,Small cell lung carcinoma,Cancer cell line,TRUE,ACH-000780
472,NCI-H1155,NCI-H1155,NCI-H1155,NCIH1155,NA,NA,NCI-H1155,NA,NCI-H1155,NA,NCI-H1155,NCI-H1155,NCI-H1155,NA,NCIH1155,NCI-H1155,NCI-H1155,lung,lung,lung,NA,NA,Lung,NA,Lung:NSCLC,lung,lung,NA,NA,lung,Lung,lung,Lung,lung,NA,NA,NA,NA,CVCL_1456,NCIH1155_1003_2019,NCI-H1155,lung,Large cell lung carcinoma,Cancer cell line,TRUE,ACH-000980
473,NCI-H128,NCI-H128,NA,NA,NA,NA,NA,NA,NA,NCI-H128,NA,NA,NCI-H128,NA,NA,NA,NCI-H128,lung,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,lung,Lung,NA,NA,lung,NA,NA,NA,NA,CVCL_1460,NCIH128_1005_2019,NCI-H128,lung,Small cell lung carcinoma,Cancer cell line,TRUE,ACH-002286
